Données 2021;Personnes scolarisées;% de la population scolarisée;Moyenne des villes;code_insee;Ville;type
CAP / BEP;5 302;23,5 %;29,3 %;24322;perigueux;Non scolarisés
Baccalauréat / brevet professionnel;4 507;19,9 %;18,8 %;24322;perigueux;Non scolarisés
De Bac +2 à Bac +4;4 967;22,0 %;19,8 %;24322;perigueux;Non scolarisés
Bac +5 et plus;2 149;9,5 %;6,5 %;24322;perigueux;Non scolarisés
2 - 5 ans;3 504;9,8 %;15,6 %;25056;besancon;Scolarisés
6 - 10 ans;5 433;15,2 %;29,2 %;25056;besancon;Scolarisés
11 - 14 ans;4 588;12,9 %;24,9 %;25056;besancon;Scolarisés
15 - 17 ans;3 724;10,5 %;18,4 %;25056;besancon;Scolarisés
18 - 24 ans;15 082;42,3 %;9,1 %;25056;besancon;Scolarisés
25 - 29 ans;2 040;5,7 %;0,7 %;25056;besancon;Scolarisés
30 ans et plus;1 263;3,5 %;2,2 %;25056;besancon;Scolarisés
Aucun diplôme;15 496;19,5 %;20,2 %;25056;besancon;Non scolarisés
Brevet des collèges;4 006;5,0 %;5,5 %;25056;besancon;Non scolarisés
CAP / BEP;15 517;19,5 %;29,3 %;25056;besancon;Non scolarisés
Baccalauréat / brevet professionnel;13 217;16,6 %;18,8 %;25056;besancon;Non scolarisés
De Bac +2 à Bac +4;19 556;24,6 %;19,8 %;25056;besancon;Non scolarisés
Bac +5 et plus;11 812;14,8 %;6,5 %;25056;besancon;Non scolarisés
2 - 5 ans;975;14,4 %;15,6 %;25388;montbeliard;Scolarisés
6 - 10 ans;1 875;27,8 %;29,2 %;25388;montbeliard;Scolarisés
11 - 14 ans;1 386;20,5 %;24,9 %;25388;montbeliard;Scolarisés
15 - 17 ans;960;14,2 %;18,4 %;25388;montbeliard;Scolarisés
18 - 24 ans;1 174;17,4 %;9,1 %;25388;montbeliard;Scolarisés
25 - 29 ans;170;2,5 %;0,7 %;25388;montbeliard;Scolarisés
30 ans et plus;212;3,1 %;2,2 %;25388;montbeliard;Scolarisés
Aucun diplôme;5 118;28,7 %;20,2 %;25388;montbeliard;Non scolarisés
Brevet des collèges;1 032;5,8 %;5,5 %;25388;montbeliard;Non scolarisés
CAP / BEP;3 987;22,4 %;29,3 %;25388;montbeliard;Non scolarisés
Baccalauréat / brevet professionnel;3 039;17,0 %;18,8 %;25388;montbeliard;Non scolarisés
De Bac +2 à Bac +4;2 957;16,6 %;19,8 %;25388;montbeliard;Non scolarisés
Bac +5 et plus;1 699;9,5 %;6,5 %;25388;montbeliard;Non scolarisés
2 - 5 ans;1 306;14,5 %;15,6 %;26198;montelimar;Scolarisés
6 - 10 ans;2 440;27,2 %;29,2 %;26198;montelimar;Scolarisés
11 - 14 ans;2 150;23,9 %;24,9 %;26198;montelimar;Scolarisés
15 - 17 ans;1 675;18,6 %;18,4 %;26198;montelimar;Scolarisés
18 - 24 ans;1 092;12,2 %;9,1 %;26198;montelimar;Scolarisés
25 - 29 ans;81;0,9 %;0,7 %;26198;montelimar;Scolarisés
30 ans et plus;240;2,7 %;2,2 %;26198;montelimar;Scolarisés
Aucun diplôme;6 395;21,3 %;20,2 %;26198;montelimar;Non scolarisés
Brevet des collèges;2 036;6,8 %;5,5 %;26198;montelimar;Non scolarisés
CAP / BEP;7 363;24,6 %;29,3 %;26198;montelimar;Non scolarisés
Baccalauréat / brevet professionnel;5 423;18,1 %;18,8 %;26198;montelimar;Non scolarisés
De Bac +2 à Bac +4;6 098;20,4 %;19,8 %;26198;montelimar;Non scolarisés
Bac +5 et plus;2 649;8,8 %;6,5 %;26198;montelimar;Non scolarisés
2 - 5 ans;1 027;15,4 %;15,6 %;26281;romans-sur-isere;Scolarisés
6 - 10 ans;1 805;27,0 %;29,2 %;26281;romans-sur-isere;Scolarisés
11 - 14 ans;1 607;24,0 %;24,9 %;26281;romans-sur-isere;Scolarisés
15 - 17 ans;1 139;17,0 %;18,4 %;26281;romans-sur-isere;Scolarisés
18 - 24 ans;838;12,5 %;9,1 %;26281;romans-sur-isere;Scolarisés
25 - 29 ans;85;1,3 %;0,7 %;26281;romans-sur-isere;Scolarisés
30 ans et plus;187;2,8 %;2,2 %;26281;romans-sur-isere;Scolarisés
Aucun diplôme;6 735;26,8 %;20,2 %;26281;romans-sur-isere;Non scolarisés
Brevet des collèges;1 415;5,6 %;5,5 %;26281;romans-sur-isere;Non scolarisés
CAP / BEP;6 249;24,9 %;29,3 %;26281;romans-sur-isere;Non scolarisés
Baccalauréat / brevet professionnel;4 163;16,6 %;18,8 %;26281;romans-sur-isere;Non scolarisés
De Bac +2 à Bac +4;4 708;18,8 %;19,8 %;26281;romans-sur-isere;Non scolarisés
Bac +5 et plus;1 817;7,2 %;6,5 %;26281;romans-sur-isere;Non scolarisés
2 - 5 ans;2 060;13,7 %;15,6 %;26362;valence;Scolarisés
6 - 10 ans;3 558;23,6 %;29,2 %;26362;valence;Scolarisés
11 - 14 ans;2 818;18,7 %;24,9 %;26362;valence;Scolarisés
15 - 17 ans;2 179;14,5 %;18,4 %;26362;valence;Scolarisés
18 - 24 ans;3 587;23,8 %;9,1 %;26362;valence;Scolarisés
25 - 29 ans;355;2,4 %;0,7 %;26362;valence;Scolarisés
30 ans et plus;502;3,3 %;2,2 %;26362;valence;Scolarisés
Aucun diplôme;9 866;21,0 %;20,2 %;26362;valence;Non scolarisés
Brevet des collèges;2 735;5,8 %;5,5 %;26362;valence;Non scolarisés
CAP / BEP;9 587;20,4 %;29,3 %;26362;valence;Non scolarisés
Baccalauréat / brevet professionnel;8 314;17,7 %;18,8 %;26362;valence;Non scolarisés
De Bac +2 à Bac +4;10 692;22,8 %;19,8 %;26362;valence;Non scolarisés
Bac +5 et plus;5 785;12,3 %;6,5 %;26362;valence;Non scolarisés
2 - 5 ans;1 709;14,4 %;15,6 %;27229;evreux;Scolarisés
6 - 10 ans;2 962;25,0 %;29,2 %;27229;evreux;Scolarisés
11 - 14 ans;2 378;20,1 %;24,9 %;27229;evreux;Scolarisés
15 - 17 ans;1 733;14,6 %;18,4 %;27229;evreux;Scolarisés
18 - 24 ans;2 358;19,9 %;9,1 %;27229;evreux;Scolarisés
25 - 29 ans;247;2,1 %;0,7 %;27229;evreux;Scolarisés
30 ans et plus;458;3,9 %;2,2 %;27229;evreux;Scolarisés
Aucun diplôme;8 843;26,4 %;20,2 %;27229;evreux;Non scolarisés
Brevet des collèges;2 047;6,1 %;5,5 %;27229;evreux;Non scolarisés
CAP / BEP;7 827;23,3 %;29,3 %;27229;evreux;Non scolarisés
Baccalauréat / brevet professionnel;5 733;17,1 %;18,8 %;27229;evreux;Non scolarisés
De Bac +2 à Bac +4;6 088;18,2 %;19,8 %;27229;evreux;Non scolarisés
Bac +5 et plus;2 984;8,9 %;6,5 %;27229;evreux;Non scolarisés
2 - 5 ans;908;16,0 %;15,6 %;27681;vernon;Scolarisés
6 - 10 ans;1 592;28,1 %;29,2 %;27681;vernon;Scolarisés
11 - 14 ans;1 274;22,5 %;24,9 %;27681;vernon;Scolarisés
15 - 17 ans;913;16,1 %;18,4 %;27681;vernon;Scolarisés
18 - 24 ans;751;13,3 %;9,1 %;27681;vernon;Scolarisés
25 - 29 ans;74;1,3 %;0,7 %;27681;vernon;Scolarisés
30 ans et plus;152;2,7 %;2,2 %;27681;vernon;Scolarisés
Aucun diplôme;4 525;25,4 %;20,2 %;27681;vernon;Non scolarisés
Brevet des collèges;1 055;5,9 %;5,5 %;27681;vernon;Non scolarisés
CAP / BEP;3 549;19,9 %;29,3 %;27681;vernon;Non scolarisés
Baccalauréat / brevet professionnel;2 923;16,4 %;18,8 %;27681;vernon;Non scolarisés
De Bac +2 à Bac +4;3 540;19,9 %;19,8 %;27681;vernon;Non scolarisés
Bac +5 et plus;2 230;12,5 %;6,5 %;27681;vernon;Non scolarisés
2 - 5 ans;1 120;13,9 %;15,6 %;28085;chartres;Scolarisés
6 - 10 ans;2 031;25,2 %;29,2 %;28085;chartres;Scolarisés
11 - 14 ans;1 685;20,9 %;24,9 %;28085;chartres;Scolarisés
15 - 17 ans;1 331;16,5 %;18,4 %;28085;chartres;Scolarisés
18 - 24 ans;1 527;18,9 %;9,1 %;28085;chartres;Scolarisés
25 - 29 ans;191;2,4 %;0,7 %;28085;chartres;Scolarisés
30 ans et plus;179;2,2 %;2,2 %;28085;chartres;Scolarisés
Aucun diplôme;6 205;21,4 %;20,2 %;28085;chartres;Non scolarisés
Brevet des collèges;1 669;5,7 %;5,5 %;28085;chartres;Non scolarisés
CAP / BEP;5 938;20,4 %;29,3 %;28085;chartres;Non scolarisés
Baccalauréat / brevet professionnel;4 639;16,0 %;18,8 %;28085;chartres;Non scolarisés
De Bac +2 à Bac +4;6 628;22,8 %;19,8 %;28085;chartres;Non scolarisés
Bac +5 et plus;3 983;13,7 %;6,5 %;28085;chartres;Non scolarisés
2 - 5 ans;1 329;15,8 %;15,6 %;28134;dreux;Scolarisés
6 - 10 ans;2 435;29,0 %;29,2 %;28134;dreux;Scolarisés
11 - 14 ans;1 965;23,4 %;24,9 %;28134;dreux;Scolarisés
15 - 17 ans;1 275;15,2 %;18,4 %;28134;dreux;Scolarisés
18 - 24 ans;1 126;13,4 %;9,1 %;28134;dreux;Scolarisés
25 - 29 ans;97;1,2 %;0,7 %;28134;dreux;Scolarisés
30 ans et plus;160;1,9 %;2,2 %;28134;dreux;Scolarisés
Aucun diplôme;7 339;34,9 %;20,2 %;28134;dreux;Non scolarisés
Brevet des collèges;1 145;5,4 %;5,5 %;28134;dreux;Non scolarisés
CAP / BEP;4 634;22,0 %;29,3 %;28134;dreux;Non scolarisés
Baccalauréat / brevet professionnel;3 535;16,8 %;18,8 %;28134;dreux;Non scolarisés
De Bac +2 à Bac +4;3 097;14,7 %;19,8 %;28134;dreux;Non scolarisés
Bac +5 et plus;1 270;6,0 %;6,5 %;28134;dreux;Non scolarisés
2 - 5 ans;4 259;10,9 %;15,6 %;29019;brest;Scolarisés
6 - 10 ans;6 093;15,7 %;29,2 %;29019;brest;Scolarisés
11 - 14 ans;5 201;13,4 %;24,9 %;29019;brest;Scolarisés
15 - 17 ans;4 187;10,8 %;18,4 %;29019;brest;Scolarisés
18 - 24 ans;15 888;40,8 %;9,1 %;29019;brest;Scolarisés
25 - 29 ans;2 007;5,2 %;0,7 %;29019;brest;Scolarisés
30 ans et plus;1 270;3,3 %;2,2 %;29019;brest;Scolarisés
Aucun diplôme;14 177;14,7 %;20,2 %;29019;brest;Non scolarisés
Brevet des collèges;5 585;5,8 %;5,5 %;29019;brest;Non scolarisés
CAP / BEP;21 455;22,2 %;29,3 %;29019;brest;Non scolarisés
Baccalauréat / brevet professionnel;18 661;19,3 %;18,8 %;29019;brest;Non scolarisés
De Bac +2 à Bac +4;22 692;23,5 %;19,8 %;29019;brest;Non scolarisés
Bac +5 et plus;14 006;14,5 %;6,5 %;29019;brest;Non scolarisés
2 - 5 ans;501;14,5 %;15,6 %;29039;concarneau;Scolarisés
6 - 10 ans;831;24,1 %;29,2 %;29039;concarneau;Scolarisés
11 - 14 ans;797;23,1 %;24,9 %;29039;concarneau;Scolarisés
15 - 17 ans;773;22,4 %;18,4 %;29039;concarneau;Scolarisés
18 - 24 ans;402;11,6 %;9,1 %;29039;concarneau;Scolarisés
25 - 29 ans;46;1,3 %;0,7 %;29039;concarneau;Scolarisés
30 ans et plus;102;3,0 %;2,2 %;29039;concarneau;Scolarisés
Aucun diplôme;2 907;17,3 %;20,2 %;29039;concarneau;Non scolarisés
Brevet des collèges;1 233;7,3 %;5,5 %;29039;concarneau;Non scolarisés
CAP / BEP;4 450;26,5 %;29,3 %;29039;concarneau;Non scolarisés
Baccalauréat / brevet professionnel;3 082;18,4 %;18,8 %;29039;concarneau;Non scolarisés
De Bac +2 à Bac +4;3 726;22,2 %;19,8 %;29039;concarneau;Non scolarisés
Bac +5 et plus;1 389;8,3 %;6,5 %;29039;concarneau;Non scolarisés
2 - 5 ans;1 850;13,3 %;15,6 %;29232;quimper;Scolarisés
6 - 10 ans;2 960;21,2 %;29,2 %;29232;quimper;Scolarisés
11 - 14 ans;2 606;18,7 %;24,9 %;29232;quimper;Scolarisés
15 - 17 ans;2 107;15,1 %;18,4 %;29232;quimper;Scolarisés
18 - 24 ans;3 716;26,6 %;9,1 %;29232;quimper;Scolarisés
25 - 29 ans;300;2,1 %;0,7 %;29232;quimper;Scolarisés
30 ans et plus;421;3,0 %;2,2 %;29232;quimper;Scolarisés
Aucun diplôme;6 758;14,1 %;20,2 %;29232;quimper;Non scolarisés
Brevet des collèges;3 137;6,5 %;5,5 %;29232;quimper;Non scolarisés
CAP / BEP;11 060;23,1 %;29,3 %;29232;quimper;Non scolarisés
Baccalauréat / brevet professionnel;8 714;18,2 %;18,8 %;29232;quimper;Non scolarisés
De Bac +2 à Bac +4;12 944;27,0 %;19,8 %;29232;quimper;Non scolarisés
Bac +5 et plus;5 317;11,1 %;6,5 %;29232;quimper;Non scolarisés
2 - 5 ans;2 963;20,1 %;15,6 %;2A004;ajaccio;Scolarisés
6 - 10 ans;4 401;29,9 %;29,2 %;2A004;ajaccio;Scolarisés
11 - 14 ans;3 158;21,5 %;24,9 %;2A004;ajaccio;Scolarisés
15 - 17 ans;2 122;14,4 %;18,4 %;2A004;ajaccio;Scolarisés
18 - 24 ans;1 673;11,4 %;9,1 %;2A004;ajaccio;Scolarisés
25 - 29 ans;143;1,0 %;0,7 %;2A004;ajaccio;Scolarisés
30 ans et plus;260;1,8 %;2,2 %;2A004;ajaccio;Scolarisés
Aucun diplôme;10 604;18,7 %;20,2 %;2A004;ajaccio;Non scolarisés
Brevet des collèges;4 488;7,9 %;5,5 %;2A004;ajaccio;Non scolarisés
CAP / BEP;11 212;19,8 %;29,3 %;2A004;ajaccio;Non scolarisés
Baccalauréat / brevet professionnel;13 243;23,4 %;18,8 %;2A004;ajaccio;Non scolarisés
De Bac +2 à Bac +4;12 577;22,2 %;19,8 %;2A004;ajaccio;Non scolarisés
Bac +5 et plus;4 452;7,9 %;6,5 %;2A004;ajaccio;Non scolarisés
2 - 5 ans;1 451;14,7 %;15,6 %;2B033;bastia;Scolarisés
6 - 10 ans;2 739;27,8 %;29,2 %;2B033;bastia;Scolarisés
11 - 14 ans;2 198;22,3 %;24,9 %;2B033;bastia;Scolarisés
15 - 17 ans;1 458;14,8 %;18,4 %;2B033;bastia;Scolarisés
18 - 24 ans;1 724;17,5 %;9,1 %;2B033;bastia;Scolarisés
25 - 29 ans;142;1,4 %;0,7 %;2B033;bastia;Scolarisés
30 ans et plus;152;1,5 %;2,2 %;2B033;bastia;Scolarisés
Aucun diplôme;8 259;22,1 %;20,2 %;2B033;bastia;Non scolarisés
Brevet des collèges;2 830;7,6 %;5,5 %;2B033;bastia;Non scolarisés
CAP / BEP;7 448;19,9 %;29,3 %;2B033;bastia;Non scolarisés
Baccalauréat / brevet professionnel;8 594;23,0 %;18,8 %;2B033;bastia;Non scolarisés
De Bac +2 à Bac +4;7 030;18,8 %;19,8 %;2B033;bastia;Non scolarisés
Bac +5 et plus;3 227;8,6 %;6,5 %;2B033;bastia;Non scolarisés
2 - 5 ans;1 369;14,6 %;15,6 %;30007;ales;Scolarisés
6 - 10 ans;2 262;24,1 %;29,2 %;30007;ales;Scolarisés
11 - 14 ans;1 796;19,1 %;24,9 %;30007;ales;Scolarisés
15 - 17 ans;1 437;15,3 %;18,4 %;30007;ales;Scolarisés
18 - 24 ans;2 232;23,7 %;9,1 %;30007;ales;Scolarisés
25 - 29 ans;158;1,7 %;0,7 %;30007;ales;Scolarisés
30 ans et plus;147;1,6 %;2,2 %;30007;ales;Scolarisés
Aucun diplôme;9 958;30,0 %;20,2 %;30007;ales;Non scolarisés
Brevet des collèges;2 127;6,4 %;5,5 %;30007;ales;Non scolarisés
CAP / BEP;8 695;26,2 %;29,3 %;30007;ales;Non scolarisés
Baccalauréat / brevet professionnel;5 729;17,3 %;18,8 %;30007;ales;Non scolarisés
De Bac +2 à Bac +4;4 794;14,4 %;19,8 %;30007;ales;Non scolarisés
Bac +5 et plus;1 884;5,7 %;6,5 %;30007;ales;Non scolarisés
2 - 5 ans;4 747;12,8 %;15,6 %;30189;nimes;Scolarisés
6 - 10 ans;8 254;22,3 %;29,2 %;30189;nimes;Scolarisés
11 - 14 ans;6 743;18,2 %;24,9 %;30189;nimes;Scolarisés
15 - 17 ans;5 106;13,8 %;18,4 %;30189;nimes;Scolarisés
18 - 24 ans;9 734;26,3 %;9,1 %;30189;nimes;Scolarisés
25 - 29 ans;1 028;2,8 %;0,7 %;30189;nimes;Scolarisés
30 ans et plus;1 366;3,7 %;2,2 %;30189;nimes;Scolarisés
Aucun diplôme;24 689;23,4 %;20,2 %;30189;nimes;Non scolarisés
Brevet des collèges;7 316;6,9 %;5,5 %;30189;nimes;Non scolarisés
CAP / BEP;20 774;19,7 %;29,3 %;30189;nimes;Non scolarisés
Baccalauréat / brevet professionnel;18 871;17,9 %;18,8 %;30189;nimes;Non scolarisés
De Bac +2 à Bac +4;22 484;21,3 %;19,8 %;30189;nimes;Non scolarisés
Bac +5 et plus;11 363;10,8 %;6,5 %;30189;nimes;Non scolarisés
2 - 5 ans;837;13,3 %;15,6 %;31069;blagnac;Scolarisés
6 - 10 ans;1 458;23,2 %;29,2 %;31069;blagnac;Scolarisés
11 - 14 ans;1 192;19,0 %;24,9 %;31069;blagnac;Scolarisés
15 - 17 ans;899;14,3 %;18,4 %;31069;blagnac;Scolarisés
18 - 24 ans;1 393;22,2 %;9,1 %;31069;blagnac;Scolarisés
25 - 29 ans;193;3,1 %;0,7 %;31069;blagnac;Scolarisés
30 ans et plus;310;4,9 %;2,2 %;31069;blagnac;Scolarisés
Aucun diplôme;2 341;12,3 %;20,2 %;31069;blagnac;Non scolarisés
Brevet des collèges;754;3,9 %;5,5 %;31069;blagnac;Non scolarisés
CAP / BEP;3 153;16,5 %;29,3 %;31069;blagnac;Non scolarisés
Baccalauréat / brevet professionnel;3 059;16,0 %;18,8 %;31069;blagnac;Non scolarisés
De Bac +2 à Bac +4;5 099;26,7 %;19,8 %;31069;blagnac;Non scolarisés
Bac +5 et plus;4 700;24,6 %;6,5 %;31069;blagnac;Non scolarisés
2 - 5 ans;1 566;15,6 %;15,6 %;31149;colomiers;Scolarisés
6 - 10 ans;2 780;27,8 %;29,2 %;31149;colomiers;Scolarisés
11 - 14 ans;2 071;20,7 %;24,9 %;31149;colomiers;Scolarisés
15 - 17 ans;1 441;14,4 %;18,4 %;31149;colomiers;Scolarisés
18 - 24 ans;1 473;14,7 %;9,1 %;31149;colomiers;Scolarisés
25 - 29 ans;211;2,1 %;0,7 %;31149;colomiers;Scolarisés
30 ans et plus;476;4,8 %;2,2 %;31149;colomiers;Scolarisés
Aucun diplôme;4 581;16,0 %;20,2 %;31149;colomiers;Non scolarisés
Brevet des collèges;1 513;5,3 %;5,5 %;31149;colomiers;Non scolarisés
CAP / BEP;5 444;19,0 %;29,3 %;31149;colomiers;Non scolarisés
Baccalauréat / brevet professionnel;4 935;17,2 %;18,8 %;31149;colomiers;Non scolarisés
De Bac +2 à Bac +4;7 076;24,7 %;19,8 %;31149;colomiers;Non scolarisés
Bac +5 et plus;5 067;17,7 %;6,5 %;31149;colomiers;Non scolarisés
2 - 5 ans;845;16,9 %;15,6 %;31157;cugnaux;Scolarisés
6 - 10 ans;1 513;30,2 %;29,2 %;31157;cugnaux;Scolarisés
11 - 14 ans;954;19,0 %;24,9 %;31157;cugnaux;Scolarisés
15 - 17 ans;730;14,6 %;18,4 %;31157;cugnaux;Scolarisés
18 - 24 ans;760;15,2 %;9,1 %;31157;cugnaux;Scolarisés
25 - 29 ans;63;1,3 %;0,7 %;31157;cugnaux;Scolarisés
30 ans et plus;149;3,0 %;2,2 %;31157;cugnaux;Scolarisés
Aucun diplôme;2 294;15,9 %;20,2 %;31157;cugnaux;Non scolarisés
Brevet des collèges;613;4,2 %;5,5 %;31157;cugnaux;Non scolarisés
CAP / BEP;2 688;18,6 %;29,3 %;31157;cugnaux;Non scolarisés
Baccalauréat / brevet professionnel;2 592;18,0 %;18,8 %;31157;cugnaux;Non scolarisés
De Bac +2 à Bac +4;3 781;26,2 %;19,8 %;31157;cugnaux;Non scolarisés
Bac +5 et plus;2 463;17,1 %;6,5 %;31157;cugnaux;Non scolarisés
2 - 5 ans;711;13,0 %;15,6 %;31395;muret;Scolarisés
6 - 10 ans;1 467;26,8 %;29,2 %;31395;muret;Scolarisés
11 - 14 ans;1 206;22,1 %;24,9 %;31395;muret;Scolarisés
15 - 17 ans;945;17,3 %;18,4 %;31395;muret;Scolarisés
18 - 24 ans;856;15,7 %;9,1 %;31395;muret;Scolarisés
25 - 29 ans;94;1,7 %;0,7 %;31395;muret;Scolarisés
30 ans et plus;189;3,5 %;2,2 %;31395;muret;Scolarisés
Aucun diplôme;3 537;18,9 %;20,2 %;31395;muret;Non scolarisés
Brevet des collèges;1 070;5,7 %;5,5 %;31395;muret;Non scolarisés
CAP / BEP;4 331;23,1 %;29,3 %;31395;muret;Non scolarisés
Baccalauréat / brevet professionnel;3 710;19,8 %;18,8 %;31395;muret;Non scolarisés
De Bac +2 à Bac +4;4 060;21,7 %;19,8 %;31395;muret;Non scolarisés
Bac +5 et plus;2 041;10,9 %;6,5 %;31395;muret;Non scolarisés
2 - 5 ans;14 213;9,3 %;15,6 %;31555;toulouse;Scolarisés
6 - 10 ans;22 801;15,0 %;29,2 %;31555;toulouse;Scolarisés
11 - 14 ans;16 596;10,9 %;24,9 %;31555;toulouse;Scolarisés
15 - 17 ans;13 005;8,5 %;18,4 %;31555;toulouse;Scolarisés
18 - 24 ans;69 340;45,5 %;9,1 %;31555;toulouse;Scolarisés
25 - 29 ans;10 065;6,6 %;0,7 %;31555;toulouse;Scolarisés
30 ans et plus;6 419;4,2 %;2,2 %;31555;toulouse;Scolarisés
Aucun diplôme;41 723;12,5 %;20,2 %;31555;toulouse;Non scolarisés
Brevet des collèges;13 788;4,1 %;5,5 %;31555;toulouse;Non scolarisés
CAP / BEP;45 203;13,6 %;29,3 %;31555;toulouse;Non scolarisés
Baccalauréat / brevet professionnel;55 349;16,6 %;18,8 %;31555;toulouse;Non scolarisés
De Bac +2 à Bac +4;88 563;26,6 %;19,8 %;31555;toulouse;Non scolarisés
Bac +5 et plus;88 687;26,6 %;6,5 %;31555;toulouse;Non scolarisés
2 - 5 ans;1 029;14,6 %;15,6 %;31557;tournefeuille;Scolarisés
6 - 10 ans;1 944;27,5 %;29,2 %;31557;tournefeuille;Scolarisés
11 - 14 ans;1 584;22,4 %;24,9 %;31557;tournefeuille;Scolarisés
15 - 17 ans;1 116;15,8 %;18,4 %;31557;tournefeuille;Scolarisés
18 - 24 ans;1 038;14,7 %;9,1 %;31557;tournefeuille;Scolarisés
25 - 29 ans;116;1,6 %;0,7 %;31557;tournefeuille;Scolarisés
30 ans et plus;241;3,4 %;2,2 %;31557;tournefeuille;Scolarisés
Aucun diplôme;2 236;10,5 %;20,2 %;31557;tournefeuille;Non scolarisés
Brevet des collèges;949;4,5 %;5,5 %;31557;tournefeuille;Non scolarisés
CAP / BEP;3 337;15,7 %;29,3 %;31557;tournefeuille;Non scolarisés
Baccalauréat / brevet professionnel;3 137;14,7 %;18,8 %;31557;tournefeuille;Non scolarisés
De Bac +2 à Bac +4;5 838;27,4 %;19,8 %;31557;tournefeuille;Non scolarisés
Bac +5 et plus;5 806;27,3 %;6,5 %;31557;tournefeuille;Non scolarisés
2 - 5 ans;605;12,9 %;15,6 %;32013;auch;Scolarisés
6 - 10 ans;1 018;21,7 %;29,2 %;32013;auch;Scolarisés
11 - 14 ans;933;19,9 %;24,9 %;32013;auch;Scolarisés
15 - 17 ans;776;16,6 %;18,4 %;32013;auch;Scolarisés
18 - 24 ans;1 098;23,4 %;9,1 %;32013;auch;Scolarisés
25 - 29 ans;83;1,8 %;0,7 %;32013;auch;Scolarisés
30 ans et plus;172;3,7 %;2,2 %;32013;auch;Scolarisés
Aucun diplôme;3 584;20,2 %;20,2 %;32013;auch;Non scolarisés
Brevet des collèges;1 215;6,8 %;5,5 %;32013;auch;Non scolarisés
CAP / BEP;3 989;22,5 %;29,3 %;32013;auch;Non scolarisés
Baccalauréat / brevet professionnel;3 431;19,3 %;18,8 %;32013;auch;Non scolarisés
De Bac +2 à Bac +4;3 801;21,4 %;19,8 %;32013;auch;Non scolarisés
Bac +5 et plus;1 743;9,8 %;6,5 %;32013;auch;Non scolarisés
2 - 5 ans;1 136;15,2 %;15,6 %;33039;begles;Scolarisés
6 - 10 ans;1 714;22,9 %;29,2 %;33039;begles;Scolarisés
11 - 14 ans;1 298;17,3 %;24,9 %;33039;begles;Scolarisés
15 - 17 ans;988;13,2 %;18,4 %;33039;begles;Scolarisés
18 - 24 ans;1 815;24,2 %;9,1 %;33039;begles;Scolarisés
25 - 29 ans;270;3,6 %;0,7 %;33039;begles;Scolarisés
30 ans et plus;274;3,7 %;2,2 %;33039;begles;Scolarisés
Aucun diplôme;3 689;16,7 %;20,2 %;33039;begles;Non scolarisés
Brevet des collèges;1 046;4,7 %;5,5 %;33039;begles;Non scolarisés
CAP / BEP;4 540;20,5 %;29,3 %;33039;begles;Non scolarisés
Baccalauréat / brevet professionnel;3 945;17,8 %;18,8 %;33039;begles;Non scolarisés
De Bac +2 à Bac +4;5 532;25,0 %;19,8 %;33039;begles;Non scolarisés
Bac +5 et plus;3 353;15,2 %;6,5 %;33039;begles;Non scolarisés
2 - 5 ans;6 716;8,9 %;15,6 %;33063;bordeaux;Scolarisés
6 - 10 ans;11 291;14,9 %;29,2 %;33063;bordeaux;Scolarisés
11 - 14 ans;9 160;12,1 %;24,9 %;33063;bordeaux;Scolarisés
15 - 17 ans;7 017;9,3 %;18,4 %;33063;bordeaux;Scolarisés
18 - 24 ans;33 605;44,3 %;9,1 %;33063;bordeaux;Scolarisés
25 - 29 ans;5 056;6,7 %;0,7 %;33063;bordeaux;Scolarisés
30 ans et plus;2 988;3,9 %;2,2 %;33063;bordeaux;Scolarisés
Aucun diplôme;21 595;12,2 %;20,2 %;33063;bordeaux;Non scolarisés
Brevet des collèges;7 136;4,0 %;5,5 %;33063;bordeaux;Non scolarisés
CAP / BEP;21 647;12,2 %;29,3 %;33063;bordeaux;Non scolarisés
Baccalauréat / brevet professionnel;27 890;15,7 %;18,8 %;33063;bordeaux;Non scolarisés
De Bac +2 à Bac +4;48 506;27,3 %;19,8 %;33063;bordeaux;Non scolarisés
Bac +5 et plus;50 712;28,6 %;6,5 %;33063;bordeaux;Non scolarisés
2 - 5 ans;742;13,6 %;15,6 %;33069;le-bouscat;Scolarisés
6 - 10 ans;1 387;25,3 %;29,2 %;33069;le-bouscat;Scolarisés
11 - 14 ans;1 041;19,0 %;24,9 %;33069;le-bouscat;Scolarisés
15 - 17 ans;925;16,9 %;18,4 %;33069;le-bouscat;Scolarisés
18 - 24 ans;1 001;18,3 %;9,1 %;33069;le-bouscat;Scolarisés
25 - 29 ans;155;2,8 %;0,7 %;33069;le-bouscat;Scolarisés
30 ans et plus;221;4,0 %;2,2 %;33069;le-bouscat;Scolarisés
Aucun diplôme;2 060;11,4 %;20,2 %;33069;le-bouscat;Non scolarisés
Brevet des collèges;912;5,1 %;5,5 %;33069;le-bouscat;Non scolarisés
CAP / BEP;2 947;16,3 %;29,3 %;33069;le-bouscat;Non scolarisés
Baccalauréat / brevet professionnel;3 063;17,0 %;18,8 %;33069;le-bouscat;Non scolarisés
De Bac +2 à Bac +4;4 894;27,1 %;19,8 %;33069;le-bouscat;Non scolarisés
Bac +5 et plus;4 165;23,1 %;6,5 %;33069;le-bouscat;Non scolarisés
2 - 5 ans;715;16,0 %;15,6 %;33075;bruges;Scolarisés
