"","0","1","2","3","code_insee","Ville"
"717","De 1946 à 1970","4 824","31","20,8 %","42207","saint-chamond"
"718","De 1971 à 1990","4 905","32","28,6 %","42207","saint-chamond"
"719","De 1991 à 2005","1 386","9","15,9 %","42207","saint-chamond"
"720","Après 2005","852","5","14,3 %","42207","saint-chamond"
"721","Avant 1919","6 917","8","11,8 %","42218","saint-etienne"
"722","De 1919 à 1945","8 342","9","8,6 %","42218","saint-etienne"
"723","De 1946 à 1970","29 515","34","20,8 %","42218","saint-etienne"
"724","De 1971 à 1990","27 210","31","28,6 %","42218","saint-etienne"
"725","De 1991 à 2005","8 880","10","15,9 %","42218","saint-etienne"
"726","Après 2005","4 666","5","14,3 %","42218","saint-etienne"
"727","Avant 1919","528","6","11,8 %","44020","bouguenais"
"728","De 1919 à 1945","278","3","8,6 %","44020","bouguenais"
"729","De 1946 à 1970","1 331","15","20,8 %","44020","bouguenais"
"730","De 1971 à 1990","2 758","32","28,6 %","44020","bouguenais"
"731","De 1991 à 2005","1 338","15","15,9 %","44020","bouguenais"
"732","Après 2005","2 205","26","14,3 %","44020","bouguenais"
"733","Avant 1919","248","2","11,8 %","44026","carquefou"
"734","De 1919 à 1945","63","0","8,6 %","44026","carquefou"
"735","De 1946 à 1970","490","5","20,8 %","44026","carquefou"
"736","De 1971 à 1990","3 066","35","28,6 %","44026","carquefou"
"737","De 1991 à 2005","2 685","30","15,9 %","44026","carquefou"
"738","Après 2005","2 212","25","14,3 %","44026","carquefou"
"739","Avant 1919","286","3","11,8 %","44035","la-chapelle-sur-erdre"
"740","De 1919 à 1945","85","1","8,6 %","44035","la-chapelle-sur-erdre"
"741","De 1946 à 1970","440","5","20,8 %","44035","la-chapelle-sur-erdre"
"742","De 1971 à 1990","3 579","43","28,6 %","44035","la-chapelle-sur-erdre"
"743","De 1991 à 2005","1 770","21","15,9 %","44035","la-chapelle-sur-erdre"
"744","Après 2005","2 148","25","14,3 %","44035","la-chapelle-sur-erdre"
"745","Avant 1919","660","7","11,8 %","44047","coueron"
"746","De 1919 à 1945","585","6","8,6 %","44047","coueron"
"747","De 1946 à 1970","1 396","14","20,8 %","44047","coueron"
"748","De 1971 à 1990","2 732","29","28,6 %","44047","coueron"
"749","De 1991 à 2005","1 535","16","15,9 %","44047","coueron"
"750","Après 2005","2 466","26","14,3 %","44047","coueron"
"751","Avant 1919","12 739","7","11,8 %","44109","nantes"
"752","De 1919 à 1945","11 924","7","8,6 %","44109","nantes"
"753","De 1946 à 1970","37 464","22","20,8 %","44109","nantes"
"754","De 1971 à 1990","46 199","27","28,6 %","44109","nantes"
"755","De 1991 à 2005","30 169","18","15,9 %","44109","nantes"
"756","Après 2005","28 087","16","14,3 %","44109","nantes"
"757","Avant 1919","186","1","11,8 %","44114","orvault"
"758","De 1919 à 1945","167","1","8,6 %","44114","orvault"
"759","De 1946 à 1970","2 635","22","20,8 %","44114","orvault"
"760","De 1971 à 1990","4 403","37","28,6 %","44114","orvault"
"761","De 1991 à 2005","2 144","18","15,9 %","44114","orvault"
"762","Après 2005","2 317","19","14,3 %","44114","orvault"
"763","Avant 1919","1 177","5","11,8 %","44143","reze"
"764","De 1919 à 1945","1 115","5","8,6 %","44143","reze"
"765","De 1946 à 1970","5 512","27","20,8 %","44143","reze"
"766","De 1971 à 1990","5 150","25","28,6 %","44143","reze"
"767","De 1991 à 2005","3 074","15","15,9 %","44143","reze"
"768","Après 2005","3 976","19","14,3 %","44143","reze"
"769","Avant 1919","266","1","11,8 %","44162","saint-herblain"
"770","De 1919 à 1945","311","1","8,6 %","44162","saint-herblain"
"771","De 1946 à 1970","5 756","25","20,8 %","44162","saint-herblain"
"772","De 1971 à 1990","8 660","38","28,6 %","44162","saint-herblain"
"773","De 1991 à 2005","3 185","14","15,9 %","44162","saint-herblain"
"774","Après 2005","4 610","20","14,3 %","44162","saint-herblain"
"775","Avant 1919","677","1","11,8 %","44184","saint-nazaire"
"776","De 1919 à 1945","1 669","4","8,6 %","44184","saint-nazaire"
"777","De 1946 à 1970","11 751","32","20,8 %","44184","saint-nazaire"
"778","De 1971 à 1990","9 625","26","28,6 %","44184","saint-nazaire"
"779","De 1991 à 2005","5 404","15","15,9 %","44184","saint-nazaire"
"780","Après 2005","6 659","18","14,3 %","44184","saint-nazaire"
"781","Avant 1919","310","2","11,8 %","44190","saint-sebastien-sur-loire"
"782","De 1919 à 1945","401","3","8,6 %","44190","saint-sebastien-sur-loire"
"783","De 1946 à 1970","2 410","17","20,8 %","44190","saint-sebastien-sur-loire"
"784","De 1971 à 1990","4 799","35","28,6 %","44190","saint-sebastien-sur-loire"
"785","De 1991 à 2005","2 246","16","15,9 %","44190","saint-sebastien-sur-loire"
"786","Après 2005","3 291","24","14,3 %","44190","saint-sebastien-sur-loire"
"787","Avant 1919","825","7","11,8 %","44215","vertou"
"788","De 1919 à 1945","415","3","8,6 %","44215","vertou"
"789","De 1946 à 1970","1 532","13","20,8 %","44215","vertou"
"790","De 1971 à 1990","3 062","27","28,6 %","44215","vertou"
"791","De 1991 à 2005","2 066","18","15,9 %","44215","vertou"
"792","Après 2005","3 133","28","14,3 %","44215","vertou"
"793","Avant 1919","272","2","11,8 %","45147","fleury-les-aubrais"
"794","De 1919 à 1945","489","5","8,6 %","45147","fleury-les-aubrais"
"795","De 1946 à 1970","2 399","25","20,8 %","45147","fleury-les-aubrais"
"796","De 1971 à 1990","4 174","44","28,6 %","45147","fleury-les-aubrais"
"797","De 1991 à 2005","1 178","12","15,9 %","45147","fleury-les-aubrais"
"798","Après 2005","815","8","14,3 %","45147","fleury-les-aubrais"
"799","Avant 1919","775","7","11,8 %","45232","olivet"
"800","De 1919 à 1945","253","2","8,6 %","45232","olivet"
"801","De 1946 à 1970","1 635","14","20,8 %","45232","olivet"
"802","De 1971 à 1990","4 226","38","28,6 %","45232","olivet"
"803","De 1991 à 2005","2 329","21","15,9 %","45232","olivet"
"804","Après 2005","1 842","16","14,3 %","45232","olivet"
"805","Avant 1919","6 409","11","11,8 %","45234","orleans"
"806","De 1919 à 1945","4 346","7","8,6 %","45234","orleans"
"807","De 1946 à 1970","14 500","25","20,8 %","45234","orleans"
"808","De 1971 à 1990","17 423","30","28,6 %","45234","orleans"
"809","De 1991 à 2005","9 275","16","15,9 %","45234","orleans"
"810","Après 2005","5 592","9","14,3 %","45234","orleans"
"811","Avant 1919","304","3","11,8 %","45284","saint-jean-de-braye"
"812","De 1919 à 1945","282","3","8,6 %","45284","saint-jean-de-braye"
"813","De 1946 à 1970","1 681","17","20,8 %","45284","saint-jean-de-braye"
"814","De 1971 à 1990","3 758","39","28,6 %","45284","saint-jean-de-braye"
"815","De 1991 à 2005","1 826","19","15,9 %","45284","saint-jean-de-braye"
"816","Après 2005","1 569","16","14,3 %","45284","saint-jean-de-braye"
"817","Avant 1919","1 592","14","11,8 %","46042","cahors"
"818","De 1919 à 1945","727","6","8,6 %","46042","cahors"
"819","De 1946 à 1970","2 647","24","20,8 %","46042","cahors"
"820","De 1971 à 1990","3 094","28","28,6 %","46042","cahors"
"821","De 1991 à 2005","1 754","16","15,9 %","46042","cahors"
"822","Après 2005","1 069","9","14,3 %","46042","cahors"
"823","Avant 1919","1 574","9","11,8 %","47001","agen"
"824","De 1919 à 1945","1 832","10","8,6 %","47001","agen"
"825","De 1946 à 1970","5 285","30","20,8 %","47001","agen"
"826","De 1971 à 1990","4 418","25","28,6 %","47001","agen"
"827","De 1991 à 2005","2 712","15","15,9 %","47001","agen"
"828","Après 2005","1 436","8","14,3 %","47001","agen"
"829","Avant 1919","1 213","11","11,8 %","47323","villeneuve-sur-lot"
"830","De 1919 à 1945","838","7","8,6 %","47323","villeneuve-sur-lot"
"831","De 1946 à 1970","3 282","30","20,8 %","47323","villeneuve-sur-lot"
"832","De 1971 à 1990","3 091","28","28,6 %","47323","villeneuve-sur-lot"
"833","De 1991 à 2005","1 714","15","15,9 %","47323","villeneuve-sur-lot"
"834","Après 2005","817","7","14,3 %","47323","villeneuve-sur-lot"
"835","Avant 1919","6 276","7","11,8 %","49007","angers"
"836","De 1919 à 1945","5 233","6","8,6 %","49007","angers"
"837","De 1946 à 1970","19 180","23","20,8 %","49007","angers"
"838","De 1971 à 1990","26 046","31","28,6 %","49007","angers"
"839","De 1991 à 2005","14 830","18","15,9 %","49007","angers"
"840","Après 2005","11 039","13","14,3 %","49007","angers"
"841","Avant 1919","1 062","11","11,8 %","49023","beaupreau-en-mauges"
"842","De 1919 à 1945","433","4","8,6 %","49023","beaupreau-en-mauges"
"843","De 1946 à 1970","1 537","16","20,8 %","49023","beaupreau-en-mauges"
"844","De 1971 à 1990","3 019","32","28,6 %","49023","beaupreau-en-mauges"
"845","De 1991 à 2005","1 796","19","15,9 %","49023","beaupreau-en-mauges"
"846","Après 2005","1 601","16","14,3 %","49023","beaupreau-en-mauges"
"847","Avant 1919","1 483","17","11,8 %","49092","chemille-en-anjou"
"848","De 1919 à 1945","483","5","8,6 %","49092","chemille-en-anjou"
"849","De 1946 à 1970","954","11","20,8 %","49092","chemille-en-anjou"
"850","De 1971 à 1990","2 315","27","28,6 %","49092","chemille-en-anjou"
"851","De 1991 à 2005","1 720","20","15,9 %","49092","chemille-en-anjou"
"852","Après 2005","1 508","17","14,3 %","49092","chemille-en-anjou"
"853","Avant 1919","1 648","6","11,8 %","49099","cholet"
"854","De 1919 à 1945","1 759","6","8,6 %","49099","cholet"
"855","De 1946 à 1970","7 268","28","20,8 %","49099","cholet"
"856","De 1971 à 1990","9 356","36","28,6 %","49099","cholet"
"857","De 1991 à 2005","3 696","14","15,9 %","49099","cholet"
"858","Après 2005","1 935","7","14,3 %","49099","cholet"
"859","Avant 1919","1 159","11","11,8 %","49301","sevremoine"
"860","De 1919 à 1945","556","5","8,6 %","49301","sevremoine"
"861","De 1946 à 1970","1 630","16","20,8 %","49301","sevremoine"
"862","De 1971 à 1990","2 948","29","28,6 %","49301","sevremoine"
"863","De 1991 à 2005","2 134","21","15,9 %","49301","sevremoine"
"864","Après 2005","1 743","17","14,3 %","49301","sevremoine"
"865","Avant 1919","2 269","17","11,8 %","49328","saumur"
"866","De 1919 à 1945","1 115","8","8,6 %","49328","saumur"
"867","De 1946 à 1970","3 622","27","20,8 %","49328","saumur"
"868","De 1971 à 1990","3 806","28","28,6 %","49328","saumur"
"869","De 1991 à 2005","1 346","10","15,9 %","49328","saumur"
"870","Après 2005","1 018","7","14,3 %","49328","saumur"
"871","Avant 1919","3 498","9","11,8 %","50129","cherbourg-en-cotentin"
"872","De 1919 à 1945","3 214","8","8,6 %","50129","cherbourg-en-cotentin"
"873","De 1946 à 1970","10 803","27","20,8 %","50129","cherbourg-en-cotentin"
"874","De 1971 à 1990","14 255","36","28,6 %","50129","cherbourg-en-cotentin"
"875","De 1991 à 2005","3 793","9","15,9 %","50129","cherbourg-en-cotentin"
"876","Après 2005","3 301","8","14,3 %","50129","cherbourg-en-cotentin"
"877","Avant 1919","1 570","7","11,8 %","51108","chalons-en-champagne"
"878","De 1919 à 1945","1 876","8","8,6 %","51108","chalons-en-champagne"
"879","De 1946 à 1970","7 567","34","20,8 %","51108","chalons-en-champagne"
"880","De 1971 à 1990","6 650","30","28,6 %","51108","chalons-en-champagne"
"881","De 1991 à 2005","2 373","11","15,9 %","51108","chalons-en-champagne"
"882","Après 2005","1 625","7","14,3 %","51108","chalons-en-champagne"
"883","Avant 1919","1 157","10","11,8 %","51230","epernay"
"884","De 1919 à 1945","1 170","10","8,6 %","51230","epernay"
"885","De 1946 à 1970","3 135","27","20,8 %","51230","epernay"
"886","De 1971 à 1990","3 709","32","28,6 %","51230","epernay"
"887","De 1991 à 2005","1 250","11","15,9 %","51230","epernay"
"888","Après 2005","859","7","14,3 %","51230","epernay"
"889","Avant 1919","2 825","3","11,8 %","51454","reims"
"890","De 1919 à 1945","10 026","11","8,6 %","51454","reims"
"891","De 1946 à 1970","24 789","27","20,8 %","51454","reims"
"892","De 1971 à 1990","29 405","32","28,6 %","51454","reims"
"893","De 1991 à 2005","12 862","14","15,9 %","51454","reims"
"894","Après 2005","11 612","12","14,3 %","51454","reims"
"895","Avant 1919","914","8","11,8 %","52121","chaumont"
"896","De 1919 à 1945","1 202","10","8,6 %","52121","chaumont"
"897","De 1946 à 1970","4 095","36","20,8 %","52121","chaumont"
"898","De 1971 à 1990","3 487","30","28,6 %","52121","chaumont"
"899","De 1991 à 2005","1 147","10","15,9 %","52121","chaumont"
"900","Après 2005","496","4","14,3 %","52121","chaumont"
"901","Avant 1919","668","6","11,8 %","52448","saint-dizier"
"902","De 1919 à 1945","1 092","9","8,6 %","52448","saint-dizier"
"903","De 1946 à 1970","4 475","40","20,8 %","52448","saint-dizier"
"904","De 1971 à 1990","3 368","30","28,6 %","52448","saint-dizier"
"905","De 1991 à 2005","760","6","15,9 %","52448","saint-dizier"
"906","Après 2005","821","7","14,3 %","52448","saint-dizier"
"907","Avant 1919","2 111","8","11,8 %","53130","laval"
"908","De 1919 à 1945","1 457","5","8,6 %","53130","laval"
"909","De 1946 à 1970","7 201","28","20,8 %","53130","laval"
"910","De 1971 à 1990","8 228","32","28,6 %","53130","laval"
"911","De 1991 à 2005","4 274","16","15,9 %","53130","laval"
"912","Après 2005","2 312","9","14,3 %","53130","laval"
"913","Avant 1919","8 970","15","11,8 %","54395","nancy"
"914","De 1919 à 1945","8 979","15","8,6 %","54395","nancy"
"915","De 1946 à 1970","12 733","21","20,8 %","54395","nancy"
"916","De 1971 à 1990","14 733","24","28,6 %","54395","nancy"
"917","De 1991 à 2005","8 396","14","15,9 %","54395","nancy"
"918","Après 2005","5 560","9","14,3 %","54395","nancy"
"919","Avant 1919","177","1","11,8 %","54547","vandoeuvre-les-nancy"
"920","De 1919 à 1945","510","3","8,6 %","54547","vandoeuvre-les-nancy"
"921","De 1946 à 1970","4 956","32","20,8 %","54547","vandoeuvre-les-nancy"
"922","De 1971 à 1990","6 525","42","28,6 %","54547","vandoeuvre-les-nancy"
"923","De 1991 à 2005","2 218","14","15,9 %","54547","vandoeuvre-les-nancy"
"924","Après 2005","1 002","6","14,3 %","54547","vandoeuvre-les-nancy"
"925","Avant 1919","188","1","11,8 %","56098","lanester"
"926","De 1919 à 1945","597","5","8,6 %","56098","lanester"
"927","De 1946 à 1970","3 798","35","20,8 %","56098","lanester"
"928","De 1971 à 1990","3 673","34","28,6 %","56098","lanester"
"929","De 1991 à 2005","1 151","10","15,9 %","56098","lanester"
"930","Après 2005","1 263","11","14,3 %","56098","lanester"
"931","Avant 1919","668","2","11,8 %","56121","lorient"
"932","De 1919 à 1945","2 019","6","8,6 %","56121","lorient"
"933","De 1946 à 1970","14 717","45","20,8 %","56121","lorient"
"934","De 1971 à 1990","8 648","26","28,6 %","56121","lorient"
"935","De 1991 à 2005","3 363","10","15,9 %","56121","lorient"
"936","Après 2005","2 831","8","14,3 %","56121","lorient"
"937","Avant 1919","1 397","4","11,8 %","56260","vannes"
"938","De 1919 à 1945","1 312","4","8,6 %","56260","vannes"
"939","De 1946 à 1970","5 409","18","20,8 %","56260","vannes"
"940","De 1971 à 1990","9 184","31","28,6 %","56260","vannes"
"941","De 1991 à 2005","7 180","24","15,9 %","56260","vannes"
"942","Après 2005","4 618","15","14,3 %","56260","vannes"
"943","Avant 1919","324","3","11,8 %","57227","forbach"
"944","De 1919 à 1945","862","9","8,6 %","57227","forbach"
"945","De 1946 à 1970","3 773","41","20,8 %","57227","forbach"
"946","De 1971 à 1990","2 541","27","28,6 %","57227","forbach"
"947","De 1991 à 2005","1 128","12","15,9 %","57227","forbach"
"948","Après 2005","483","5","14,3 %","57227","forbach"
"949","Avant 1919","4 910","8","11,8 %","57463","metz"
"950","De 1919 à 1945","6 167","10","8,6 %","57463","metz"
"951","De 1946 à 1970","16 620","27","20,8 %","57463","metz"
"952","De 1971 à 1990","18 676","31","28,6 %","57463","metz"
"953","De 1991 à 2005","8 614","14","15,9 %","57463","metz"
"954","Après 2005","5 268","8","14,3 %","57463","metz"
"955","Avant 1919","540","4","11,8 %","57480","montigny-les-metz"
"956","De 1919 à 1945","1 549","14","8,6 %","57480","montigny-les-metz"
"957","De 1946 à 1970","4 465","40","20,8 %","57480","montigny-les-metz"
"958","De 1971 à 1990","2 580","23","28,6 %","57480","montigny-les-metz"
"959","De 1991 à 2005","1 312","11","15,9 %","57480","montigny-les-metz"
"960","Après 2005","623","5","14,3 %","57480","montigny-les-metz"
"961","Avant 1919","763","7","11,8 %","57631","sarreguemines"
"962","De 1919 à 1945","1 311","12","8,6 %","57631","sarreguemines"
"963","De 1946 à 1970","3 320","32","20,8 %","57631","sarreguemines"
"964","De 1971 à 1990","2 553","25","28,6 %","57631","sarreguemines"
"965","De 1991 à 2005","1 358","13","15,9 %","57631","sarreguemines"
"966","Après 2005","860","8","14,3 %","57631","sarreguemines"
"967","Avant 1919","996","4","11,8 %","57672","thionville"
"968","De 1919 à 1945","1 847","9","8,6 %","57672","thionville"
"969","De 1946 à 1970","6 847","33","20,8 %","57672","thionville"
"970","De 1971 à 1990","5 095","25","28,6 %","57672","thionville"
"971","De 1991 à 2005","2 673","13","15,9 %","57672","thionville"
"972","Après 2005","2 866","14","14,3 %","57672","thionville"
"973","Avant 1919","1 826","10","11,8 %","58194","nevers"
"974","De 1919 à 1945","2 438","13","8,6 %","58194","nevers"
"975","De 1946 à 1970","6 063","34","20,8 %","58194","nevers"
"976","De 1971 à 1990","5 434","30","28,6 %","58194","nevers"
"977","De 1991 à 2005","1 287","7","15,9 %","58194","nevers"
"978","Après 2005","720","4","14,3 %","58194","nevers"
"979","Avant 1919","849","3","11,8 %","59009","villeneuve-d-ascq"
"980","De 1919 à 1945","1 956","7","8,6 %","59009","villeneuve-d-ascq"
"981","De 1946 à 1970","5 209","19","20,8 %","59009","villeneuve-d-ascq"
"982","De 1971 à 1990","13 125","48","28,6 %","59009","villeneuve-d-ascq"
"983","De 1991 à 2005","2 825","10","15,9 %","59009","villeneuve-d-ascq"
"984","Après 2005","2 980","11","14,3 %","59009","villeneuve-d-ascq"
"985","Avant 1919","392","3","11,8 %","59017","armentieres"
"986","De 1919 à 1945","3 960","35","8,6 %","59017","armentieres"
"987","De 1946 à 1970","2 087","18","20,8 %","59017","armentieres"
"988","De 1971 à 1990","2 536","22","28,6 %","59017","armentieres"
"989","De 1991 à 2005","1 180","10","15,9 %","59017","armentieres"
"990","Après 2005","1 036","9","14,3 %","59017","armentieres"
"991","Avant 1919","1 807","11","11,8 %","59122","cambrai"
"992","De 1919 à 1945","3 179","19","8,6 %","59122","cambrai"
"993","De 1946 à 1970","5 607","35","20,8 %","59122","cambrai"
"994","De 1971 à 1990","2 906","18","28,6 %","59122","cambrai"
"995","De 1991 à 2005","1 415","8","15,9 %","59122","cambrai"
"996","Après 2005","1 056","6","14,3 %","59122","cambrai"
"997","Avant 1919","220","2","11,8 %","59155","coudekerque-branche"
"998","De 1919 à 1945","1 290","14","8,6 %","59155","coudekerque-branche"
"999","De 1946 à 1970","3 595","38","20,8 %","59155","coudekerque-branche"
"1000","De 1971 à 1990","2 918","31","28,6 %","59155","coudekerque-branche"
"1001","De 1991 à 2005","846","9","15,9 %","59155","coudekerque-branche"
"1002","Après 2005","370","4","14,3 %","59155","coudekerque-branche"
"1003","Avant 1919","452","4","11,8 %","59163","croix"
"1004","De 1919 à 1945","2 893","30","8,6 %","59163","croix"
"1005","De 1946 à 1970","2 297","24","20,8 %","59163","croix"
"1006","De 1971 à 1990","1 789","18","28,6 %","59163","croix"
"1007","De 1991 à 2005","1 024","10","15,9 %","59163","croix"
"1008","Après 2005","1 058","11","14,3 %","59163","croix"
"1009","Avant 1919","743","9","11,8 %","59172","denain"
"1010","De 1919 à 1945","2 057","26","8,6 %","59172","denain"
"1011","De 1946 à 1970","2 428","30","20,8 %","59172","denain"
"1012","De 1971 à 1990","1 197","15","28,6 %","59172","denain"
"1013","De 1991 à 2005","565","7","15,9 %","59172","denain"
"1014","Après 2005","869","11","14,3 %","59172","denain"
"1015","Avant 1919","1 807","9","11,8 %","59178","douai"
"1016","De 1919 à 1945","3 069","16","8,6 %","59178","douai"
"1017","De 1946 à 1970","5 076","27","20,8 %","59178","douai"
"1018","De 1971 à 1990","4 677","25","28,6 %","59178","douai"
"1019","De 1991 à 2005","1 899","10","15,9 %","59178","douai"
"1020","Après 2005","1 726","9","14,3 %","59178","douai"
"1021","Avant 1919","1 852","4","11,8 %","59183","dunkerque"
"1022","De 1919 à 1945","4 228","10","8,6 %","59183","dunkerque"
"1023","De 1946 à 1970","14 737","35","20,8 %","59183","dunkerque"
"1024","De 1971 à 1990","13 985","33","28,6 %","59183","dunkerque"
"1025","De 1991 à 2005","3 961","9","15,9 %","59183","dunkerque"
"1026","Après 2005","3 039","7","14,3 %","59183","dunkerque"
"1027","Avant 1919","30","0","11,8 %","59271","grande-synthe"
"1028","De 1919 à 1945","89","1","8,6 %","59271","grande-synthe"
"1029","De 1946 à 1970","2 338","29","20,8 %","59271","grande-synthe"
"1030","De 1971 à 1990","3 763","48","28,6 %","59271","grande-synthe"
"1031","De 1991 à 2005","617","7","15,9 %","59271","grande-synthe"
"1032","Après 2005","976","12","14,3 %","59271","grande-synthe"
"1033","Avant 1919","484","5","11,8 %","59279","halluin"
"1034","De 1919 à 1945","2 026","24","8,6 %","59279","halluin"
"1035","De 1946 à 1970","1 477","17","20,8 %","59279","halluin"
"1036","De 1971 à 1990","1 788","21","28,6 %","59279","halluin"
"1037","De 1991 à 2005","1 348","16","15,9 %","59279","halluin"
"1038","Après 2005","1 129","13","14,3 %","59279","halluin"
"1039","Avant 1919","446","4","11,8 %","59295","hazebrouck"
"1040","De 1919 à 1945","1 800","19","8,6 %","59295","hazebrouck"
"1041","De 1946 à 1970","2 650","27","20,8 %","59295","hazebrouck"
"1042","De 1971 à 1990","2 294","24","28,6 %","59295","hazebrouck"
"1043","De 1991 à 2005","1 097","11","15,9 %","59295","hazebrouck"
"1044","Après 2005","1 199","12","14,3 %","59295","hazebrouck"
"1045","Avant 1919","550","4","11,8 %","59328","lambersart"
"1046","De 1919 à 1945","2 921","23","8,6 %","59328","lambersart"
"1047","De 1946 à 1970","3 916","31","20,8 %","59328","lambersart"
"1048","De 1971 à 1990","3 519","28","28,6 %","59328","lambersart"
"1049","De 1991 à 2005","916","7","15,9 %","59328","lambersart"
"1050","Après 2005","652","5","14,3 %","59328","lambersart"
"1051","Avant 1919","8 350","6","11,8 %","59350","lille"
"1052","De 1919 à 1945","26 181","21","8,6 %","59350","lille"
"1053","De 1946 à 1970","27 757","22","20,8 %","59350","lille"
"1054","De 1971 à 1990","29 676","23","28,6 %","59350","lille"
"1055","De 1991 à 2005","19 830","15","15,9 %","59350","lille"
"1056","Après 2005","12 794","10","14,3 %","59350","lille"
"1057","Avant 1919","487","4","11,8 %","59360","loos"
"1058","De 1919 à 1945","1 677","15","8,6 %","59360","loos"
"1059","De 1946 à 1970","3 233","29","20,8 %","59360","loos"
"1060","De 1971 à 1990","1 946","18","28,6 %","59360","loos"
"1061","De 1991 à 2005","1 082","10","15,9 %","59360","loos"
"1062","Après 2005","2 372","22","14,3 %","59360","loos"
"1063","Avant 1919","664","5","11,8 %","59368","la-madeleine"
"1064","De 1919 à 1945","2 857","25","8,6 %","59368","la-madeleine"
"1065","De 1946 à 1970","2 062","18","20,8 %","59368","la-madeleine"
"1066","De 1971 à 1990","3 078","27","28,6 %","59368","la-madeleine"
"1067","De 1991 à 2005","1 572","13","15,9 %","59368","la-madeleine"
"1068","Après 2005","1 136","10","14,3 %","59368","la-madeleine"
"1069","Avant 1919","487","2","11,8 %","59378","marcq-en-baroeul"
"1070","De 1919 à 1945","3 255","18","8,6 %","59378","marcq-en-baroeul"
"1071","De 1946 à 1970","5 419","30","20,8 %","59378","marcq-en-baroeul"
"1072","De 1971 à 1990","4 394","24","28,6 %","59378","marcq-en-baroeul"
"1073","De 1991 à 2005","2 340","13","15,9 %","59378","marcq-en-baroeul"
"1074","Après 2005","1 833","10","14,3 %","59378","marcq-en-baroeul"
"1075","Avant 1919","723","5","11,8 %","59392","maubeuge"
"1076","De 1919 à 1945","1 671","13","8,6 %","59392","maubeuge"
"1077","De 1946 à 1970","4 931","39","20,8 %","59392","maubeuge"
"1078","De 1971 à 1990","3 674","29","28,6 %","59392","maubeuge"
"1079","De 1991 à 2005","843","6","15,9 %","59392","maubeuge"
"1080","Après 2005","697","5","14,3 %","59392","maubeuge"
"1081","Avant 1919","386","4","11,8 %","59410","mons-en-baroeul"
"1082","De 1919 à 1945","1 467","16","8,6 %","59410","mons-en-baroeul"
"1083","De 1946 à 1970","2 685","30","20,8 %","59410","mons-en-baroeul"
"1084","De 1971 à 1990","3 130","35","28,6 %","59410","mons-en-baroeul"
"1085","De 1991 à 2005","355","4","15,9 %","59410","mons-en-baroeul"
"1086","Après 2005","924","10","14,3 %","59410","mons-en-baroeul"
"1087","Avant 1919","2 964","7","11,8 %","59512","roubaix"
"1088","De 1919 à 1945","13 545","35","8,6 %","59512","roubaix"
"1089","De 1946 à 1970","8 829","23","20,8 %","59512","roubaix"
"1090","De 1971 à 1990","6 158","16","28,6 %","59512","roubaix"
"1091","De 1991 à 2005","2 134","5","15,9 %","59512","roubaix"
"1092","Après 2005","4 351","11","14,3 %","59512","roubaix"
"1093","Avant 1919","2 029","5","11,8 %","59599","tourcoing"
"1094","De 1919 à 1945","15 177","37","8,6 %","59599","tourcoing"
"1095","De 1946 à 1970","9 896","24","20,8 %","59599","tourcoing"
"1096","De 1971 à 1990","5 463","13","28,6 %","59599","tourcoing"
"1097","De 1991 à 2005","2 690","6","15,9 %","59599","tourcoing"
"1098","Après 2005","5 184","12","14,3 %","59599","tourcoing"
"1099","Avant 1919","1 596","7","11,8 %","59606","valenciennes"
"1100","De 1919 à 1945","4 044","18","8,6 %","59606","valenciennes"
"1101","De 1946 à 1970","5 636","25","20,8 %","59606","valenciennes"
"1102","De 1971 à 1990","4 074","18","28,6 %","59606","valenciennes"
"1103","De 1991 à 2005","3 788","17","15,9 %","59606","valenciennes"
"1104","Après 2005","2 935","13","14,3 %","59606","valenciennes"
"1105","Avant 1919","236","2","11,8 %","59646","wasquehal"
"1106","De 1919 à 1945","2 218","23","8,6 %","59646","wasquehal"
"1107","De 1946 à 1970","1 708","18","20,8 %","59646","wasquehal"
"1108","De 1971 à 1990","2 605","27","28,6 %","59646","wasquehal"
"1109","De 1991 à 2005","932","10","15,9 %","59646","wasquehal"
"1110","Après 2005","1 640","17","14,3 %","59646","wasquehal"
"1111","Avant 1919","1 053","6","11,8 %","59650","wattrelos"
"1112","De 1919 à 1945","5 535","32","8,6 %","59650","wattrelos"
"1113","De 1946 à 1970","4 761","28","20,8 %","59650","wattrelos"
"1114","De 1971 à 1990","3 262","19","28,6 %","59650","wattrelos"
"1115","De 1991 à 2005","1 086","6","15,9 %","59650","wattrelos"
"1116","Après 2005","1 110","6","14,3 %","59650","wattrelos"
"1117","Avant 1919","2 074","8","11,8 %","60057","beauvais"
"1118","De 1919 à 1945","1 863","7","8,6 %","60057","beauvais"
"1119","De 1946 à 1970","9 035","35","20,8 %","60057","beauvais"
"1120","De 1971 à 1990","6 995","27","28,6 %","60057","beauvais"
"1121","De 1991 à 2005","3 122","12","15,9 %","60057","beauvais"
"1122","Après 2005","2 680","10","14,3 %","60057","beauvais"
"1123","Avant 1919","1 274","6","11,8 %","60159","compiegne"
"1124","De 1919 à 1945","1 372","7","8,6 %","60159","compiegne"
"1125","De 1946 à 1970","5 779","29","20,8 %","60159","compiegne"
"1126","De 1971 à 1990","6 915","35","28,6 %","60159","compiegne"
"1127","De 1991 à 2005","2 680","13","15,9 %","60159","compiegne"
