Catégorie socioprofessionnelle,2010,%,2015,%.1,2021,%.2,code_insee,Ville
Cadres et professions intellectuelles supérieures,4571,"8,5",4516,"8,4",4930,"9,1",29232,quimper
Professions intermédiaires,8498,"15,8",8169,"15,2",8297,"15,2",29232,quimper
Employés,8992,"16,7",8848,"16,5",8125,"14,9",29232,quimper
Ouvriers,6958,"12,9",6810,"12,7",6218,"11,4",29232,quimper
Retraités,14358,"26,6",14590,"27,1",15933,"29,3",29232,quimper
Autres personnes sans activité professionnelle,8875,"16,5",9077,"16,9",8865,"16,3",29232,quimper
Ensemble,55553,"100,0",57627,"100,0",61021,"100,0",2A004,ajaccio
Agriculteurs exploitants,105,"0,2",103,"0,2",82,"0,1",2A004,ajaccio
"Artisans, commerçants, chefs d'entreprise",1875,"3,4",2178,"3,8",2197,"3,6",2A004,ajaccio
Cadres et professions intellectuelles supérieures,3564,"6,4",3540,"6,1",3880,"6,4",2A004,ajaccio
Professions intermédiaires,7106,"12,8",7603,"13,2",8572,"14,0",2A004,ajaccio
Employés,11731,"21,1",11774,"20,4",12271,"20,1",2A004,ajaccio
Ouvriers,5993,"10,8",6185,"10,7",6276,"10,3",2A004,ajaccio
Retraités,13323,"24,0",14802,"25,7",16576,"27,2",2A004,ajaccio
Autres personnes sans activité professionnelle,11856,"21,3",11442,"19,9",11167,"18,3",2A004,ajaccio
Ensemble,36345,"100,0",36665,"100,0",40775,"100,0",2B033,bastia
Agriculteurs exploitants,67,"0,2",64,"0,2",32,"0,1",2B033,bastia
"Artisans, commerçants, chefs d'entreprise",1429,"3,9",1634,"4,5",1963,"4,8",2B033,bastia
Cadres et professions intellectuelles supérieures,2272,"6,3",2243,"6,1",2000,"4,9",2B033,bastia
Professions intermédiaires,4022,"11,1",3995,"10,9",4730,"11,6",2B033,bastia
Employés,6446,"17,7",6724,"18,3",7545,"18,5",2B033,bastia
Ouvriers,4022,"11,1",3854,"10,5",4199,"10,3",2B033,bastia
Retraités,8402,"23,1",9288,"25,3",9846,"24,1",2B033,bastia
Autres personnes sans activité professionnelle,9686,"26,7",8863,"24,2",10458,"25,6",2B033,bastia
Ensemble,34758,"100,0",33508,"100,0",37943,"100,0",30007,ales
Agriculteurs exploitants,29,"0,1",37,"0,1",20,"0,1",30007,ales
"Artisans, commerçants, chefs d'entreprise",1227,"3,5",1189,"3,5",1236,"3,3",30007,ales
Cadres et professions intellectuelles supérieures,1436,"4,1",1193,"3,6",1422,"3,7",30007,ales
Professions intermédiaires,3519,"10,1",3385,"10,1",3450,"9,1",30007,ales
Employés,5376,"15,5",5351,"16,0",5850,"15,4",30007,ales
Ouvriers,4157,"12,0",3468,"10,3",3963,"10,4",30007,ales
Retraités,11233,"32,3",11262,"33,6",11490,"30,3",30007,ales
Autres personnes sans activité professionnelle,7781,"22,4",7623,"22,7",10513,"27,7",30007,ales
Ensemble,116867,"100,0",124501,"100,0",122160,"100,0",30189,nimes
Agriculteurs exploitants,200,"0,2",164,"0,1",164,"0,1",30189,nimes
"Artisans, commerçants, chefs d'entreprise",3504,"3,0",3677,"3,0",4304,"3,5",30189,nimes
Cadres et professions intellectuelles supérieures,8354,"7,1",8652,"6,9",8954,"7,3",30189,nimes
Professions intermédiaires,14334,"12,3",15095,"12,1",15198,"12,4",30189,nimes
Employés,20831,"17,8",20976,"16,8",19894,"16,3",30189,nimes
Ouvriers,12711,"10,9",11996,"9,6",11214,"9,2",30189,nimes
Retraités,30601,"26,2",33639,"27,0",31822,"26,0",30189,nimes
Autres personnes sans activité professionnelle,26332,"22,5",30302,"24,3",30609,"25,1",30189,nimes
Ensemble,18296,"100,0",19823,"100,0",21817,"100,0",31069,blagnac
Agriculteurs exploitants,26,"0,1",28,"0,1",14,"0,1",31069,blagnac
"Artisans, commerçants, chefs d'entreprise",533,"2,9",550,"2,8",602,"2,8",31069,blagnac
Cadres et professions intellectuelles supérieures,2948,"16,1",3510,"17,7",4799,"22,0",31069,blagnac
Professions intermédiaires,3307,"18,1",3641,"18,4",3945,"18,1",31069,blagnac
Employés,3079,"16,8",3172,"16,0",3111,"14,3",31069,blagnac
Ouvriers,1699,"9,3",1789,"9,0",1718,"7,9",31069,blagnac
Retraités,3864,"21,1",4374,"22,1",4472,"20,5",31069,blagnac
Autres personnes sans activité professionnelle,2841,"15,5",2760,"13,9",3156,"14,5",31069,blagnac
Ensemble,28405,"100,0",31043,"100,0",32539,"100,0",31149,colomiers
Agriculteurs exploitants,8,"0,0",11,"0,0",12,"0,0",31149,colomiers
"Artisans, commerçants, chefs d'entreprise",764,"2,7",952,"3,1",846,"2,6",31149,colomiers
Cadres et professions intellectuelles supérieures,3506,"12,3",4377,"14,1",5366,"16,5",31149,colomiers
Professions intermédiaires,4580,"16,1",5212,"16,8",5367,"16,5",31149,colomiers
Employés,4908,"17,3",5285,"17,0",4735,"14,6",31149,colomiers
Ouvriers,3826,"13,5",3986,"12,8",3458,"10,6",31149,colomiers
Retraités,5868,"20,7",6345,"20,4",7061,"21,7",31149,colomiers
Autres personnes sans activité professionnelle,4945,"17,4",4875,"15,7",5694,"17,5",31149,colomiers
Ensemble,12747,"100,0",14036,"100,0",15964,"100,0",31157,cugnaux
Agriculteurs exploitants,0,"0,0",13,"0,1",5,"0,0",31157,cugnaux
"Artisans, commerçants, chefs d'entreprise",383,"3,0",465,"3,3",594,"3,7",31157,cugnaux
Cadres et professions intellectuelles supérieures,1742,"13,7",1914,"13,6",2319,"14,5",31157,cugnaux
Professions intermédiaires,2532,"19,9",2585,"18,4",2780,"17,4",31157,cugnaux
Employés,2227,"17,5",2367,"16,9",2560,"16,0",31157,cugnaux
Ouvriers,1272,"10,0",1368,"9,7",1664,"10,4",31157,cugnaux
Retraités,2824,"22,2",3208,"22,9",3418,"21,4",31157,cugnaux
Autres personnes sans activité professionnelle,1768,"13,9",2117,"15,1",2624,"16,4",31157,cugnaux
Ensemble,19759,"100,0",20959,"100,0",20743,"100,0",31395,muret
Agriculteurs exploitants,51,"0,3",36,"0,2",56,"0,3",31395,muret
"Artisans, commerçants, chefs d'entreprise",660,"3,3",648,"3,1",649,"3,1",31395,muret
Cadres et professions intellectuelles supérieures,1533,"7,8",1539,"7,3",1597,"7,7",31395,muret
Professions intermédiaires,2993,"15,1",3216,"15,3",3019,"14,6",31395,muret
Employés,3811,"19,3",3862,"18,4",3527,"17,0",31395,muret
Ouvriers,2513,"12,7",2681,"12,8",2412,"11,6",31395,muret
Retraités,4559,"23,1",5265,"25,1",5518,"26,6",31395,muret
Autres personnes sans activité professionnelle,3640,"18,4",3712,"17,7",3964,"19,1",31395,muret
Ensemble,379242,"100,0",402944,"100,0",431590,"100,0",31555,toulouse
Agriculteurs exploitants,171,"0,0",132,"0,0",160,"0,0",31555,toulouse
"Artisans, commerçants, chefs d'entreprise",9367,"2,5",11116,"2,8",12721,"2,9",31555,toulouse
Cadres et professions intellectuelles supérieures,60331,"15,9",70248,"17,4",82758,"19,2",31555,toulouse
Professions intermédiaires,60575,"16,0",65989,"16,4",67876,"15,7",31555,toulouse
Employés,59642,"15,7",61241,"15,2",62689,"14,5",31555,toulouse
Ouvriers,32965,"8,7",33933,"8,4",33450,"7,8",31555,toulouse
Retraités,65843,"17,4",65453,"16,2",65009,"15,1",31555,toulouse
Autres personnes sans activité professionnelle,90349,"23,8",94832,"23,5",106926,"24,8",31555,toulouse
Ensemble,20090,"100,0",21265,"100,0",24069,"100,0",31557,tournefeuille
Agriculteurs exploitants,9,"0,0",3,"0,0",4,"0,0",31557,tournefeuille
"Artisans, commerçants, chefs d'entreprise",622,"3,1",647,"3,0",603,"2,5",31557,tournefeuille
Cadres et professions intellectuelles supérieures,4421,"22,0",4928,"23,2",5750,"23,9",31557,tournefeuille
Professions intermédiaires,3769,"18,8",3739,"17,6",3883,"16,1",31557,tournefeuille
Employés,2754,"13,7",2466,"11,6",2932,"12,2",31557,tournefeuille
Ouvriers,1495,"7,4",1402,"6,6",1792,"7,4",31557,tournefeuille
Retraités,4022,"20,0",4916,"23,1",5818,"24,2",31557,tournefeuille
Autres personnes sans activité professionnelle,2999,"14,9",3164,"14,9",3288,"13,7",31557,tournefeuille
Ensemble,18935,"100,0",18895,"100,0",20076,"100,0",32013,auch
Agriculteurs exploitants,77,"0,4",96,"0,5",74,"0,4",32013,auch
"Artisans, commerçants, chefs d'entreprise",508,"2,7",552,"2,9",590,"2,9",32013,auch
Cadres et professions intellectuelles supérieures,1246,"6,6",1260,"6,7",1413,"7,0",32013,auch
Professions intermédiaires,2589,"13,7",2627,"13,9",2720,"13,6",32013,auch
Employés,3275,"17,3",2985,"15,8",3035,"15,1",32013,auch
Ouvriers,2051,"10,8",1878,"9,9",2049,"10,2",32013,auch
Retraités,6304,"33,3",6330,"33,5",6560,"32,7",32013,auch
Autres personnes sans activité professionnelle,2886,"15,2",3166,"16,8",3635,"18,1",32013,auch
Ensemble,20855,"100,0",22511,"100,0",25675,"100,0",33039,begles
Agriculteurs exploitants,8,"0,0",7,"0,0",11,"0,0",33039,begles
"Artisans, commerçants, chefs d'entreprise",754,"3,6",797,"3,5",966,"3,8",33039,begles
Cadres et professions intellectuelles supérieures,1698,"8,1",2009,"8,9",3588,"14,0",33039,begles
Professions intermédiaires,3285,"15,8",3906,"17,4",4911,"19,1",33039,begles
Employés,4123,"19,8",4200,"18,7",4433,"17,3",33039,begles
Ouvriers,2588,"12,4",2716,"12,1",2361,"9,2",33039,begles
Retraités,5594,"26,8",5240,"23,3",5383,"21,0",33039,begles
Autres personnes sans activité professionnelle,2805,"13,5",3638,"16,2",4022,"15,7",33039,begles
Ensemble,206451,"100,0",215711,"100,0",227364,"100,0",33063,bordeaux
Agriculteurs exploitants,226,"0,1",161,"0,1",143,"0,1",33063,bordeaux
"Artisans, commerçants, chefs d'entreprise",6508,"3,2",7971,"3,7",9170,"4,0",33063,bordeaux
Cadres et professions intellectuelles supérieures,29857,"14,5",34427,"16,0",43764,"19,2",33063,bordeaux
Professions intermédiaires,32722,"15,8",34770,"16,1",37334,"16,4",33063,bordeaux
Employés,32368,"15,7",31338,"14,5",31823,"14,0",33063,bordeaux
Ouvriers,16306,"7,9",15653,"7,3",15015,"6,6",33063,bordeaux
Retraités,37451,"18,1",37968,"17,6",39599,"17,4",33063,bordeaux
Autres personnes sans activité professionnelle,51012,"24,7",53423,"24,8",50516,"22,2",33063,bordeaux
Ensemble,19438,"100,0",19723,"100,0",20395,"100,0",33069,le-bouscat
Agriculteurs exploitants,22,"0,1",46,"0,2",49,"0,2",33069,le-bouscat
"Artisans, commerçants, chefs d'entreprise",679,"3,5",833,"4,2",1070,"5,2",33069,le-bouscat
Cadres et professions intellectuelles supérieures,2835,"14,6",2889,"14,6",3702,"18,2",33069,le-bouscat
Professions intermédiaires,3110,"16,0",3277,"16,6",3395,"16,6",33069,le-bouscat
Employés,2996,"15,4",2815,"14,3",2625,"12,9",33069,le-bouscat
Ouvriers,1430,"7,4",1320,"6,7",1120,"5,5",33069,le-bouscat
Retraités,5674,"29,2",5635,"28,6",5490,"26,9",33069,le-bouscat
Autres personnes sans activité professionnelle,2692,"13,8",2909,"14,7",2943,"14,4",33069,le-bouscat
Ensemble,12251,"100,0",14804,"100,0",16515,"100,0",33075,bruges
Agriculteurs exploitants,21,"0,2",36,"0,2",20,"0,1",33075,bruges
"Artisans, commerçants, chefs d'entreprise",438,"3,6",604,"4,1",651,"3,9",33075,bruges
Cadres et professions intellectuelles supérieures,1538,"12,6",1836,"12,4",2375,"14,4",33075,bruges
Professions intermédiaires,2499,"20,4",3041,"20,5",3758,"22,8",33075,bruges
Employés,2206,"18,0",2953,"19,9",2939,"17,8",33075,bruges
Ouvriers,1358,"11,1",1511,"10,2",1512,"9,2",33075,bruges
Retraités,2546,"20,8",2832,"19,1",3020,"18,3",33075,bruges
Autres personnes sans activité professionnelle,1643,"13,4",1992,"13,5",2240,"13,6",33075,bruges
Ensemble,18038,"100,0",19999,"100,0",22238,"100,0",33119,cenon
Agriculteurs exploitants,20,"0,1",0,"0,0",1,"0,0",33119,cenon
"Artisans, commerçants, chefs d'entreprise",505,"2,8",681,"3,4",808,"3,6",33119,cenon
Cadres et professions intellectuelles supérieures,672,"3,7",859,"4,3",1629,"7,3",33119,cenon
Professions intermédiaires,1820,"10,1",2395,"12,0",3333,"15,0",33119,cenon
Employés,3503,"19,4",3715,"18,6",3854,"17,3",33119,cenon
Ouvriers,2949,"16,3",3155,"15,8",2825,"12,7",33119,cenon
Retraités,4774,"26,5",4713,"23,6",4790,"21,5",33119,cenon
Autres personnes sans activité professionnelle,3794,"21,0",4481,"22,4",4998,"22,5",33119,cenon
Ensemble,16056,"100,0",18468,"100,0",19868,"100,0",33162,eysines
Agriculteurs exploitants,63,"0,4",33,"0,2",24,"0,1",33162,eysines
"Artisans, commerçants, chefs d'entreprise",546,"3,4",678,"3,7",855,"4,3",33162,eysines
Cadres et professions intellectuelles supérieures,1631,"10,2",1851,"10,0",2515,"12,7",33162,eysines
Professions intermédiaires,2539,"15,8",3177,"17,2",3631,"18,3",33162,eysines
Employés,3074,"19,1",3611,"19,6",3486,"17,5",33162,eysines
Ouvriers,1723,"10,7",2100,"11,4",2109,"10,6",33162,eysines
Retraités,4090,"25,5",4208,"22,8",4414,"22,2",33162,eysines
Autres personnes sans activité professionnelle,2392,"14,9",2810,"15,2",2833,"14,3",33162,eysines
Ensemble,19868,"100,0",21583,"100,0",22053,"100,0",33192,gradignan
Agriculteurs exploitants,9,"0,0",11,"0,0",16,"0,1",33192,gradignan
"Artisans, commerçants, chefs d'entreprise",437,"2,2",588,"2,7",564,"2,6",33192,gradignan
Cadres et professions intellectuelles supérieures,2364,"11,9",2706,"12,5",3043,"13,8",33192,gradignan
Professions intermédiaires,2750,"13,8",3288,"15,2",3068,"13,9",33192,gradignan
Employés,2748,"13,8",2812,"13,0",3012,"13,7",33192,gradignan
Ouvriers,1466,"7,4",1628,"7,5",1503,"6,8",33192,gradignan
Retraités,5780,"29,1",5688,"26,4",6156,"27,9",33192,gradignan
Autres personnes sans activité professionnelle,4314,"21,7",4863,"22,5",4691,"21,3",33192,gradignan
Ensemble,16248,"100,0",17812,"100,0",19423,"100,0",33199,gujan-mestras
Agriculteurs exploitants,140,"0,9",114,"0,6",89,"0,5",33199,gujan-mestras
"Artisans, commerçants, chefs d'entreprise",800,"4,9",971,"5,5",1047,"5,4",33199,gujan-mestras
Cadres et professions intellectuelles supérieures,1148,"7,1",1451,"8,1",1742,"9,0",33199,gujan-mestras
Professions intermédiaires,2005,"12,3",2074,"11,6",2493,"12,8",33199,gujan-mestras
Employés,2965,"18,3",2942,"16,5",3020,"15,5",33199,gujan-mestras
Ouvriers,1601,"9,9",1472,"8,3",1542,"7,9",33199,gujan-mestras
Retraités,5442,"33,5",6641,"37,3",7059,"36,3",33199,gujan-mestras
Autres personnes sans activité professionnelle,2148,"13,2",2148,"12,1",2432,"12,5",33199,gujan-mestras
Ensemble,19739,"100,0",20422,"100,0",19956,"100,0",33243,libourne
Agriculteurs exploitants,142,"0,7",127,"0,6",100,"0,5",33243,libourne
"Artisans, commerçants, chefs d'entreprise",537,"2,7",679,"3,3",721,"3,6",33243,libourne
Cadres et professions intellectuelles supérieures,1218,"6,2",1308,"6,4",1688,"8,5",33243,libourne
Professions intermédiaires,2743,"13,9",2570,"12,6",2650,"13,3",33243,libourne
Employés,3581,"18,1",3595,"17,6",2956,"14,8",33243,libourne
Ouvriers,2897,"14,7",2854,"14,0",2510,"12,6",33243,libourne
Retraités,5294,"26,8",5946,"29,1",5911,"29,6",33243,libourne
Autres personnes sans activité professionnelle,3328,"16,9",3344,"16,4",3420,"17,1",33243,libourne
Ensemble,15908,"100,0",17589,"100,0",18964,"100,0",33249,lormont
Agriculteurs exploitants,5,"0,0",6,"0,0",0,"0,0",33249,lormont
"Artisans, commerçants, chefs d'entreprise",410,"2,6",494,"2,8",735,"3,9",33249,lormont
Cadres et professions intellectuelles supérieures,534,"3,4",545,"3,1",866,"4,6",33249,lormont
Professions intermédiaires,1620,"10,2",1814,"10,3",2522,"13,3",33249,lormont
Employés,2866,"18,0",3375,"19,2",3768,"19,9",33249,lormont
Ouvriers,2640,"16,6",3149,"17,9",3432,"18,1",33249,lormont
Retraités,3930,"24,7",4190,"23,8",3808,"20,1",33249,lormont
Autres personnes sans activité professionnelle,3904,"24,5",4016,"22,8",3833,"20,2",33249,lormont
Ensemble,55657,"100,0",58968,"100,0",63775,"100,0",33281,merignac
Agriculteurs exploitants,28,"0,1",34,"0,1",23,"0,0",33281,merignac
"Artisans, commerçants, chefs d'entreprise",1500,"2,7",1825,"3,1",2231,"3,5",33281,merignac
Cadres et professions intellectuelles supérieures,6331,"11,4",7648,"13,0",9940,"15,6",33281,merignac
Professions intermédiaires,9776,"17,6",10288,"17,4",11516,"18,1",33281,merignac
Employés,10950,"19,7",11134,"18,9",10627,"16,7",33281,merignac
Ouvriers,5503,"9,9",5422,"9,2",5683,"8,9",33281,merignac
Retraités,12963,"23,3",13636,"23,1",14247,"22,3",33281,merignac
Autres personnes sans activité professionnelle,8606,"15,5",8982,"15,2",9506,"14,9",33281,merignac
Ensemble,48930,"100,0",51555,"100,0",55719,"100,0",33318,pessac
Agriculteurs exploitants,26,"0,1",36,"0,1",23,"0,0",33318,pessac
"Artisans, commerçants, chefs d'entreprise",1287,"2,6",1395,"2,7",1735,"3,1",33318,pessac
Cadres et professions intellectuelles supérieures,5771,"11,8",6939,"13,5",8485,"15,2",33318,pessac
Professions intermédiaires,7497,"15,3",8161,"15,8",8520,"15,3",33318,pessac
Employés,7514,"15,4",7366,"14,3",7526,"13,5",33318,pessac
Ouvriers,4470,"9,1",4411,"8,6",4200,"7,5",33318,pessac
Retraités,11451,"23,4",11848,"23,0",12273,"22,0",33318,pessac
Autres personnes sans activité professionnelle,10914,"22,3",11399,"22,1",12956,"23,3",33318,pessac
Ensemble,22569,"100,0",24840,"100,0",26302,"100,0",33449,saint-medard-en-jalles
Agriculteurs exploitants,24,"0,1",47,"0,2",21,"0,1",33449,saint-medard-en-jalles
"Artisans, commerçants, chefs d'entreprise",690,"3,1",774,"3,1",892,"3,4",33449,saint-medard-en-jalles
Cadres et professions intellectuelles supérieures,2392,"10,6",3288,"13,2",3869,"14,7",33449,saint-medard-en-jalles
Professions intermédiaires,4131,"18,3",4317,"17,4",4872,"18,5",33449,saint-medard-en-jalles
Employés,4019,"17,8",4155,"16,7",4019,"15,3",33449,saint-medard-en-jalles
Ouvriers,1940,"8,6",2191,"8,8",2011,"7,6",33449,saint-medard-en-jalles
Retraités,5796,"25,7",6691,"26,9",7007,"26,6",33449,saint-medard-en-jalles
Autres personnes sans activité professionnelle,3578,"15,9",3378,"13,6",3612,"13,7",33449,saint-medard-en-jalles
Ensemble,35363,"100,0",36566,"100,0",39311,"100,0",33522,talence
Agriculteurs exploitants,28,"0,1",3,"0,0",2,"0,0",33522,talence
"Artisans, commerçants, chefs d'entreprise",731,"2,1",856,"2,3",1218,"3,1",33522,talence
Cadres et professions intellectuelles supérieures,4676,"13,2",4847,"13,3",6663,"17,0",33522,talence
Professions intermédiaires,5454,"15,4",5573,"15,2",5955,"15,1",33522,talence
Employés,5252,"14,9",5608,"15,3",5424,"13,8",33522,talence
Ouvriers,2524,"7,1",2647,"7,2",2654,"6,8",33522,talence
Retraités,6376,"18,0",6165,"16,9",6442,"16,4",33522,talence
Autres personnes sans activité professionnelle,10322,"29,2",10865,"29,7",10952,"27,9",33522,talence
Ensemble,20911,"100,0",22412,"100,0",23857,"100,0",33529,la-teste-de-buch
Agriculteurs exploitants,91,"0,4",81,"0,4",73,"0,3",33529,la-teste-de-buch
"Artisans, commerçants, chefs d'entreprise",975,"4,7",1108,"4,9",1181,"5,0",33529,la-teste-de-buch
Cadres et professions intellectuelles supérieures,1130,"5,4",1389,"6,2",1705,"7,1",33529,la-teste-de-buch
Professions intermédiaires,2483,"11,9",2723,"12,1",2926,"12,3",33529,la-teste-de-buch
Employés,3901,"18,7",4073,"18,2",3913,"16,4",33529,la-teste-de-buch
Ouvriers,1992,"9,5",2080,"9,3",1908,"8,0",33529,la-teste-de-buch
Retraités,7299,"34,9",8121,"36,2",9242,"38,7",33529,la-teste-de-buch
Autres personnes sans activité professionnelle,3039,"14,5",2838,"12,7",2910,"12,2",33529,la-teste-de-buch
Ensemble,23467,"100,0",26190,"100,0",33795,"100,0",33550,villenave-d-ornon
Agriculteurs exploitants,24,"0,1",24,"0,1",42,"0,1",33550,villenave-d-ornon
"Artisans, commerçants, chefs d'entreprise",740,"3,2",896,"3,4",1235,"3,7",33550,villenave-d-ornon
Cadres et professions intellectuelles supérieures,1997,"8,5",2377,"9,1",3792,"11,2",33550,villenave-d-ornon
Professions intermédiaires,4020,"17,1",4834,"18,5",6862,"20,3",33550,villenave-d-ornon
Employés,4437,"18,9",4994,"19,1",6490,"19,2",33550,villenave-d-ornon
Ouvriers,2835,"12,1",2863,"10,9",3537,"10,5",33550,villenave-d-ornon
Retraités,6037,"25,7",6587,"25,1",6986,"20,7",33550,villenave-d-ornon
Autres personnes sans activité professionnelle,3377,"14,4",3616,"13,8",4851,"14,4",33550,villenave-d-ornon
Ensemble,20804,"100,0",23172,"100,0",25245,"100,0",34003,agde
Agriculteurs exploitants,132,"0,6",116,"0,5",47,"0,2",34003,agde
"Artisans, commerçants, chefs d'entreprise",1253,"6,0",1276,"5,5",1367,"5,4",34003,agde
Cadres et professions intellectuelles supérieures,744,"3,6",899,"3,9",972,"3,8",34003,agde
Professions intermédiaires,1930,"9,3",2180,"9,4",2285,"9,0",34003,agde
Employés,3393,"16,3",4027,"17,4",3964,"15,7",34003,agde
Ouvriers,1793,"8,6",2073,"8,9",1788,"7,1",34003,agde
Retraités,7878,"37,9",9235,"39,9",10729,"42,5",34003,agde
Autres personnes sans activité professionnelle,3680,"17,7",3367,"14,5",4093,"16,2",34003,agde
Ensemble,58819,"100,0",62355,"100,0",65637,"100,0",34032,beziers
Agriculteurs exploitants,198,"0,3",170,"0,3",183,"0,3",34032,beziers
"Artisans, commerçants, chefs d'entreprise",2125,"3,6",2300,"3,7",2435,"3,7",34032,beziers
Cadres et professions intellectuelles supérieures,2317,"3,9",2669,"4,3",3012,"4,6",34032,beziers
Professions intermédiaires,5203,"8,8",5945,"9,5",6252,"9,5",34032,beziers
Employés,9727,"16,5",10129,"16,2",9801,"14,9",34032,beziers
Ouvriers,7241,"12,3",6931,"11,1",7392,"11,3",34032,beziers
Retraités,18786,"31,9",19190,"30,8",19070,"29,1",34032,beziers
Autres personnes sans activité professionnelle,13223,"22,5",15023,"24,1",17492,"26,6",34032,beziers
Ensemble,12578,"100,0",16630,"100,0",21438,"100,0",34057,castelnau-le-lez
Agriculteurs exploitants,29,"0,2",11,"0,1",12,"0,1",34057,castelnau-le-lez
"Artisans, commerçants, chefs d'entreprise",464,"3,7",588,"3,5",887,"4,1",34057,castelnau-le-lez
Cadres et professions intellectuelles supérieures,1894,"15,1",2519,"15,1",3487,"16,3",34057,castelnau-le-lez
Professions intermédiaires,1997,"15,9",2922,"17,6",3817,"17,8",34057,castelnau-le-lez
Employés,1684,"13,4",2418,"14,5",3382,"15,8",34057,castelnau-le-lez
Ouvriers,779,"6,2",1138,"6,8",1150,"5,4",34057,castelnau-le-lez
Retraités,3249,"25,8",4057,"24,4",5066,"23,6",34057,castelnau-le-lez
Autres personnes sans activité professionnelle,2482,"19,7",2978,"17,9",3637,"17,0",34057,castelnau-le-lez
Ensemble,18578,"100,0",19138,"100,0",19923,"100,0",34108,frontignan
Agriculteurs exploitants,63,"0,3",101,"0,5",61,"0,3",34108,frontignan
"Artisans, commerçants, chefs d'entreprise",705,"3,8",738,"3,9",847,"4,3",34108,frontignan
Cadres et professions intellectuelles supérieures,854,"4,6",907,"4,7",1138,"5,7",34108,frontignan
Professions intermédiaires,2346,"12,6",2548,"13,3",2846,"14,3",34108,frontignan
Employés,3688,"19,8",3584,"18,7",3516,"17,6",34108,frontignan
Ouvriers,2423,"13,0",2285,"11,9",2282,"11,5",34108,frontignan
Retraités,4995,"26,9",5987,"31,3",5967,"29,9",34108,frontignan
Autres personnes sans activité professionnelle,3505,"18,9",2988,"15,6",3266,"16,4",34108,frontignan
Ensemble,20375,"100,0",20161,"100,0",21713,"100,0",34145,lunel
Agriculteurs exploitants,69,"0,3",128,"0,6",59,"0,3",34145,lunel
"Artisans, commerçants, chefs d'entreprise",886,"4,3",892,"4,4",899,"4,1",34145,lunel
Cadres et professions intellectuelles supérieures,927,"4,6",1058,"5,2",1204,"5,5",34145,lunel
Professions intermédiaires,2128,"10,4",2330,"11,6",2727,"12,6",34145,lunel
Employés,3448,"16,9",3300,"16,4",3462,"15,9",34145,lunel
Ouvriers,3035,"14,9",2796,"13,9",2941,"13,5",34145,lunel
Retraités,5566,"27,3",5450,"27,0",5932,"27,3",34145,lunel
Autres personnes sans activité professionnelle,4317,"21,2",4207,"20,9",4490,"20,7",34145,lunel
Ensemble,217832,"100,0",234542,"100,0",256946,"100,0",34172,montpellier
Agriculteurs exploitants,157,"0,1",95,"0,0",163,"0,1",34172,montpellier
"Artisans, commerçants, chefs d'entreprise",5710,"2,6",6765,"2,9",8652,"3,4",34172,montpellier
Cadres et professions intellectuelles supérieures,23860,"11,0",27668,"11,8",34716,"13,5",34172,montpellier
Professions intermédiaires,31268,"14,4",35043,"14,9",38760,"15,1",34172,montpellier
Employés,35069,"16,1",36326,"15,5",36689,"14,3",34172,montpellier
Ouvriers,18574,"8,5",19342,"8,2",20147,"7,8",34172,montpellier
Retraités,40330,"18,5",42725,"18,2",43985,"17,1",34172,montpellier
Autres personnes sans activité professionnelle,62864,"28,9",66579,"28,4",73833,"28,7",34172,montpellier
Ensemble,36900,"100,0",37435,"100,0",39165,"100,0",34301,sete
Agriculteurs exploitants,155,"0,4",127,"0,3",136,"0,3",34301,sete
"Artisans, commerçants, chefs d'entreprise",1104,"3,0",1407,"3,8",1449,"3,7",34301,sete
Cadres et professions intellectuelles supérieures,1663,"4,5",1802,"4,8",2349,"6,0",34301,sete
Professions intermédiaires,3978,"10,8",3512,"9,4",3951,"10,1",34301,sete
Employés,5867,"15,9",5771,"15,4",5341,"13,6",34301,sete
Ouvriers,3652,"9,9",3523,"9,4",3244,"8,3",34301,sete
Retraités,13351,"36,2",13900,"37,1",15043,"38,4",34301,sete
Autres personnes sans activité professionnelle,7131,"19,3",7392,"19,7",7653,"19,5",34301,sete
Ensemble,16872,"100,0",17247,"100,0",17648,"100,0",35115,fougeres
Agriculteurs exploitants,10,"0,1",12,"0,1",18,"0,1",35115,fougeres
"Artisans, commerçants, chefs d'entreprise",541,"3,2",471,"2,7",548,"3,1",35115,fougeres
Cadres et professions intellectuelles supérieures,868,"5,1",879,"5,1",989,"5,6",35115,fougeres
Professions intermédiaires,1982,"11,7",2163,"12,5",2289,"13,0",35115,fougeres
Employés,2457,"14,6",2377,"13,8",2364,"13,4",35115,fougeres
Ouvriers,2867,"17,0",2739,"15,9",2870,"16,3",35115,fougeres
Retraités,5745,"34,0",6058,"35,1",5997,"34,0",35115,fougeres
Autres personnes sans activité professionnelle,2403,"14,2",2549,"14,8",2573,"14,6",35115,fougeres
Ensemble,179287,"100,0",184482,"100,0",194184,"100,0",35238,rennes
Agriculteurs exploitants,32,"0,0",87,"0,0",53,"0,0",35238,rennes
"Artisans, commerçants, chefs d'entreprise",3468,"1,9",3767,"2,0",4538,"2,3",35238,rennes
Cadres et professions intellectuelles supérieures,23537,"13,1",26452,"14,3",32590,"16,8",35238,rennes
Professions intermédiaires,25243,"14,1",26519,"14,4",28718,"14,8",35238,rennes
Employés,27565,"15,4",26140,"14,2",25993,"13,4",35238,rennes
