Catégorie ou type de logement,2010,%,2015,%,2021,%,code_insee,Ville
Logements vacants,1 466,"7,9",1 533,"7,7",1 940,"8,8",73008,aix-les-bains
,,,,,,,73008,aix-les-bains
Maisons,4 305,"23,3",4 538,"22,8",4 605,"20,8",73008,aix-les-bains
Appartements,14 017,"75,9",15 104,"75,8",17 269,"78,0",73008,aix-les-bains
Ensemble,30 050,"100,0",31 695,"100,0",33 397,"100,0",73065,chambery
Résidences principales,26 890,"89,5",28 150,"88,8",29 346,"87,9",73065,chambery
Résidences secondaires et logements occasionnels,704,"2,3",646,"2,0",991,"3,0",73065,chambery
Logements vacants,2 456,"8,2",2 899,"9,1",3 060,"9,2",73065,chambery
,,,,,,,73065,chambery
Maisons,4 455,"14,8",4 383,"13,8",4 573,"13,7",73065,chambery
Appartements,25 070,"83,4",26 949,"85,0",28 366,"84,9",73065,chambery
Ensemble,62 718,"100,0",67 741,"100,0",75 053,"100,0",74010,annecy
Résidences principales,56 532,"90,1",60 171,"88,8",64 843,"86,4",74010,annecy
Résidences secondaires et logements occasionnels,2 309,"3,7",3 483,"5,1",4 955,"6,6",74010,annecy
Logements vacants,3 877,"6,2",4 087,"6,0",5 256,"7,0",74010,annecy
,,,,,,,74010,annecy
Maisons,8 945,"14,3",9 134,"13,5",9 388,"12,5",74010,annecy
Appartements,52 976,"84,5",57 803,"85,3",64 487,"85,9",74010,annecy
Ensemble,16 770,"100,0",18 609,"100,0",20 505,"100,0",74012,annemasse
Résidences principales,15 268,"91,0",16 603,"89,2",17 789,"86,8",74012,annemasse
Résidences secondaires et logements occasionnels,277,"1,6",606,"3,3",813,"4,0",74012,annemasse
Logements vacants,1 226,"7,3",1 401,"7,5",1 904,"9,3",74012,annemasse
,,,,,,,74012,annemasse
Maisons,1 065,"6,3",1 152,"6,2",1 044,"5,1",74012,annemasse
Appartements,15 560,"92,8",17 197,"92,4",19 356,"94,4",74012,annemasse
Ensemble,18 548,"100,0",19 599,"100,0",22 139,"100,0",74281,thonon-les-bains
Résidences principales,15 783,"85,1",16 639,"84,9",18 069,"81,6",74281,thonon-les-bains
Résidences secondaires et logements occasionnels,1 179,"6,4",1 536,"7,8",1 793,"8,1",74281,thonon-les-bains
Logements vacants,1 586,"8,6",1 424,"7,3",2 278,"10,3",74281,thonon-les-bains
,,,,,,,74281,thonon-les-bains
Maisons,4 298,"23,2",4 311,"22,0",4 389,"19,8",74281,thonon-les-bains
Appartements,14 182,"76,5",15 146,"77,3",17 575,"79,4",74281,thonon-les-bains
Ensemble,1 355 180,"100,0",1 366 438,"100,0",1 396 753,"100,0",75056,paris
Résidences principales,1 163 218,"85,8",1 142 877,"83,6",1 128 251,"80,8",75056,paris
Résidences secondaires et logements occasionnels,90 718,"6,7",112 651,"8,2",136 109,"9,7",75056,paris
Logements vacants,101 244,"7,5",110 909,"8,1",132 393,"9,5",75056,paris
,,,,,,,75056,paris
Maisons,11 844,"0,9",13 241,"1,0",10 558,"0,8",75056,paris
Appartements,1 303 591,"96,2",1 322 139,"96,8",1 353 830,"96,9",75056,paris
Ensemble,18 742,"100,0",19 076,"100,0",19 718,"100,0",76217,dieppe
Résidences principales,15 172,"81,0",14 929,"78,3",15 144,"76,8",76217,dieppe
Résidences secondaires et logements occasionnels,1 487,"7,9",1 699,"8,9",2 092,"10,6",76217,dieppe
Logements vacants,2 082,"11,1",2 448,"12,8",2 482,"12,6",76217,dieppe
,,,,,,,76217,dieppe
Maisons,5 741,"30,6",5 878,"30,8",5 888,"29,9",76217,dieppe
Appartements,12 932,"69,0",13 114,"68,7",13 741,"69,7",76217,dieppe
Ensemble,12 043,"100,0",13 039,"100,0",13 446,"100,0",76322,le-grand-quevilly
Résidences principales,11 854,"98,4",12 744,"97,7",13 017,"96,8",76322,le-grand-quevilly
Résidences secondaires et logements occasionnels,44,"0,4",44,"0,3",47,"0,3",76322,le-grand-quevilly
Logements vacants,145,"1,2",252,"1,9",382,"2,8",76322,le-grand-quevilly
,,,,,,,76322,le-grand-quevilly
Maisons,3 041,"25,2",3 099,"23,8",3 244,"24,1",76322,le-grand-quevilly
Appartements,8 954,"74,4",9 828,"75,4",10 078,"75,0",76322,le-grand-quevilly
Ensemble,88 810,"100,0",91 780,"100,0",94 308,"100,0",76351,le-havre
Résidences principales,81 139,"91,4",81 105,"88,4",82 164,"87,1",76351,le-havre
Résidences secondaires et logements occasionnels,984,"1,1",1 506,"1,6",2 212,"2,3",76351,le-havre
Logements vacants,6 687,"7,5",9 169,"10,0",9 932,"10,5",76351,le-havre
,,,,,,,76351,le-havre
Maisons,24 358,"27,4",24 398,"26,6",24 733,"26,2",76351,le-havre
Appartements,63 788,"71,8",66 535,"72,5",68 616,"72,8",76351,le-havre
Ensemble,9 316,"100,0",10 341,"100,0",11 192,"100,0",76451,mont-saint-aignan
Résidences principales,8 750,"93,9",9 455,"91,4",10 014,"89,5",76451,mont-saint-aignan
Résidences secondaires et logements occasionnels,104,"1,1",361,"3,5",487,"4,3",76451,mont-saint-aignan
Logements vacants,463,"5,0",525,"5,1",691,"6,2",76451,mont-saint-aignan
,,,,,,,76451,mont-saint-aignan
Maisons,3 096,"33,2",3 232,"31,3",3 260,"29,1",76451,mont-saint-aignan
Appartements,6 106,"65,5",6 820,"66,0",7 536,"67,3",76451,mont-saint-aignan
Ensemble,10 115,"100,0",10 951,"100,0",11 534,"100,0",76498,le-petit-quevilly
Résidences principales,9 487,"93,8",9 883,"90,2",10 237,"88,7",76498,le-petit-quevilly
Résidences secondaires et logements occasionnels,24,"0,2",77,"0,7",79,"0,7",76498,le-petit-quevilly
Logements vacants,603,"6,0",991,"9,0",1 219,"10,6",76498,le-petit-quevilly
,,,,,,,76498,le-petit-quevilly
Maisons,4 622,"45,7",4 782,"43,7",4 749,"41,2",76498,le-petit-quevilly
Appartements,5 341,"52,8",6 126,"55,9",6 675,"57,9",76498,le-petit-quevilly
Ensemble,67 825,"100,0",70 985,"100,0",75 363,"100,0",76540,rouen
Résidences principales,60 509,"89,2",61 275,"86,3",65 740,"87,2",76540,rouen
Résidences secondaires et logements occasionnels,1 192,"1,8",1 247,"1,8",2 134,"2,8",76540,rouen
Logements vacants,6 124,"9,0",8 463,"11,9",7 490,"9,9",76540,rouen
,,,,,,,76540,rouen
Maisons,10 773,"15,9",10 740,"15,1",10 666,"14,2",76540,rouen
Appartements,56 529,"83,3",59 608,"84,0",64 098,"85,1",76540,rouen
Ensemble,11 801,"100,0",12 790,"100,0",13 181,"100,0",76575,saint-etienne-du-rouvray
Résidences principales,11 107,"94,1",11 882,"92,9",12 066,"91,5",76575,saint-etienne-du-rouvray
Résidences secondaires et logements occasionnels,25,"0,2",66,"0,5",136,"1,0",76575,saint-etienne-du-rouvray
Logements vacants,669,"5,7",841,"6,6",980,"7,4",76575,saint-etienne-du-rouvray
,,,,,,,76575,saint-etienne-du-rouvray
Maisons,6 606,"56,0",7 218,"56,4",6 976,"52,9",76575,saint-etienne-du-rouvray
Appartements,5 078,"43,0",5 330,"41,7",6 011,"45,6",76575,saint-etienne-du-rouvray
Ensemble,14 156,"100,0",14 338,"100,0",14 996,"100,0",76681,sotteville-les-rouen
Résidences principales,13 380,"94,5",13 308,"92,8",13 772,"91,8",76681,sotteville-les-rouen
Résidences secondaires et logements occasionnels,90,"0,6",150,"1,0",225,"1,5",76681,sotteville-les-rouen
Logements vacants,686,"4,8",880,"6,1",999,"6,7",76681,sotteville-les-rouen
,,,,,,,76681,sotteville-les-rouen
Maisons,7 331,"51,8",7 547,"52,6",7 466,"49,8",76681,sotteville-les-rouen
Appartements,6 723,"47,5",6 728,"46,9",7 456,"49,7",76681,sotteville-les-rouen
Ensemble,9 210,"100,0",10 952,"100,0",11 735,"100,0",77058,bussy-saint-georges
Résidences principales,8 571,"93,1",10 257,"93,7",11 026,"94,0",77058,bussy-saint-georges
Résidences secondaires et logements occasionnels,36,"0,4",135,"1,2",223,"1,9",77058,bussy-saint-georges
Logements vacants,603,"6,6",560,"5,1",485,"4,1",77058,bussy-saint-georges
,,,,,,,77058,bussy-saint-georges
Maisons,3 333,"36,2",3 399,"31,0",3 204,"27,3",77058,bussy-saint-georges
Appartements,5 807,"63,1",7 368,"67,3",8 420,"71,8",77058,bussy-saint-georges
Ensemble,10 022,"100,0",10 551,"100,0",11 234,"100,0",77083,champs-sur-marne
Résidences principales,9 553,"95,3",10 024,"95,0",10 574,"94,1",77083,champs-sur-marne
Résidences secondaires et logements occasionnels,61,"0,6",110,"1,0",168,"1,5",77083,champs-sur-marne
Logements vacants,408,"4,1",417,"4,0",491,"4,4",77083,champs-sur-marne
,,,,,,,77083,champs-sur-marne
Maisons,3 052,"30,5",3 088,"29,3",3 088,"27,5",77083,champs-sur-marne
Appartements,6 886,"68,7",7 254,"68,8",7 811,"69,5",77083,champs-sur-marne
Ensemble,21 920,"100,0",22 722,"100,0",24 317,"100,0",77108,chelles
Résidences principales,20 769,"94,8",21 062,"92,7",22 512,"92,6",77108,chelles
Résidences secondaires et logements occasionnels,191,"0,9",253,"1,1",347,"1,4",77108,chelles
Logements vacants,960,"4,4",1 407,"6,2",1 458,"6,0",77108,chelles
,,,,,,,77108,chelles
Maisons,10 167,"46,4",10 393,"45,7",10 132,"41,7",77108,chelles
Appartements,11 395,"52,0",11 975,"52,7",13 772,"56,6",77108,chelles
Ensemble,8 616,"100,0",9 152,"100,0",9 668,"100,0",77122,combs-la-ville
Résidences principales,8 183,"95,0",8 522,"93,1",9 157,"94,7",77122,combs-la-ville
Résidences secondaires et logements occasionnels,66,"0,8",43,"0,5",72,"0,7",77122,combs-la-ville
Logements vacants,368,"4,3",588,"6,4",438,"4,5",77122,combs-la-ville
,,,,,,,77122,combs-la-ville
Maisons,4 638,"53,8",4 968,"54,3",4 951,"51,2",77122,combs-la-ville
Appartements,3 934,"45,7",4 126,"45,1",4 637,"48,0",77122,combs-la-ville
Ensemble,8 819,"100,0",9 441,"100,0",9 895,"100,0",77152,dammarie-les-lys
Résidences principales,8 069,"91,5",8 892,"94,2",9 396,"95,0",77152,dammarie-les-lys
Résidences secondaires et logements occasionnels,29,"0,3",44,"0,5",82,"0,8",77152,dammarie-les-lys
Logements vacants,720,"8,2",505,"5,3",417,"4,2",77152,dammarie-les-lys
,,,,,,,77152,dammarie-les-lys
Maisons,3 314,"37,6",3 503,"37,1",3 421,"34,6",77152,dammarie-les-lys
Appartements,5 456,"61,9",5 619,"59,5",6 427,"65,0",77152,dammarie-les-lys
Ensemble,9 432,"100,0",10 017,"100,0",10 762,"100,0",77243,lagny-sur-marne
Résidences principales,8 717,"92,4",9 181,"91,7",9 761,"90,7",77243,lagny-sur-marne
Résidences secondaires et logements occasionnels,131,"1,4",165,"1,6",227,"2,1",77243,lagny-sur-marne
Logements vacants,585,"6,2",671,"6,7",774,"7,2",77243,lagny-sur-marne
,,,,,,,77243,lagny-sur-marne
Maisons,3 481,"36,9",3 676,"36,7",3 720,"34,6",77243,lagny-sur-marne
Appartements,5 921,"62,8",6 125,"61,1",6 851,"63,7",77243,lagny-sur-marne
Ensemble,21 952,"100,0",23 553,"100,0",25 823,"100,0",77284,meaux
Résidences principales,20 108,"91,6",21 541,"91,5",23 698,"91,8",77284,meaux
Résidences secondaires et logements occasionnels,164,"0,7",140,"0,6",234,"0,9",77284,meaux
Logements vacants,1 679,"7,7",1 872,"7,9",1 891,"7,3",77284,meaux
,,,,,,,77284,meaux
Maisons,4 787,"21,8",4 981,"21,1",4 924,"19,1",77284,meaux
Appartements,17 001,"77,4",18 360,"78,0",20 376,"78,9",77284,meaux
Ensemble,8 240,"100,0",8 228,"100,0",8 802,"100,0",77285,le-mee-sur-seine
Résidences principales,7 771,"94,3",7 745,"94,1",7 881,"89,5",77285,le-mee-sur-seine
Résidences secondaires et logements occasionnels,55,"0,7",58,"0,7",320,"3,6",77285,le-mee-sur-seine
Logements vacants,413,"5,0",424,"5,2",600,"6,8",77285,le-mee-sur-seine
,,,,,,,77285,le-mee-sur-seine
Maisons,2 316,"28,1",2 413,"29,3",2 316,"26,3",77285,le-mee-sur-seine
Appartements,5 805,"70,5",5 715,"69,5",6 438,"73,1",77285,le-mee-sur-seine
Ensemble,19 080,"100,0",19 067,"100,0",20 479,"100,0",77288,melun
Résidences principales,17 489,"91,7",17 315,"90,8",18 070,"88,2",77288,melun
Résidences secondaires et logements occasionnels,113,"0,6",136,"0,7",252,"1,2",77288,melun
Logements vacants,1 478,"7,7",1 616,"8,5",2 157,"10,5",77288,melun
,,,,,,,77288,melun
Maisons,2 644,"13,9",2 630,"13,8",2 746,"13,4",77288,melun
Appartements,16 244,"85,1",16 249,"85,2",17 442,"85,2",77288,melun
Ensemble,7 249,"100,0",7 689,"100,0",8 070,"100,0",77294,mitry-mory
Résidences principales,6 761,"93,3",7 210,"93,8",7 516,"93,1",77294,mitry-mory
Résidences secondaires et logements occasionnels,43,"0,6",65,"0,8",123,"1,5",77294,mitry-mory
Logements vacants,444,"6,1",414,"5,4",431,"5,3",77294,mitry-mory
,,,,,,,77294,mitry-mory
Maisons,4 808,"66,3",4 975,"64,7",5 221,"64,7",77294,mitry-mory
Appartements,2 409,"33,2",2 699,"35,1",2 822,"35,0",77294,mitry-mory
Ensemble,7 554,"100,0",8 383,"100,0",8 871,"100,0",77305,montereau-fault-yonne
Résidences principales,6 691,"88,6",7 489,"89,3",8 200,"92,4",77305,montereau-fault-yonne
Résidences secondaires et logements occasionnels,99,"1,3",65,"0,8",76,"0,9",77305,montereau-fault-yonne
Logements vacants,765,"10,1",829,"9,9",595,"6,7",77305,montereau-fault-yonne
,,,,,,,77305,montereau-fault-yonne
Maisons,1 661,"22,0",2 078,"24,8",2 264,"25,5",77305,montereau-fault-yonne
Appartements,5 877,"77,8",6 270,"74,8",6 559,"73,9",77305,montereau-fault-yonne
Ensemble,7 858,"100,0",8 098,"100,0",8 961,"100,0",77350,ozoir-la-ferriere
Résidences principales,7 499,"95,4",7 619,"94,1",8 328,"92,9",77350,ozoir-la-ferriere
Résidences secondaires et logements occasionnels,68,"0,9",104,"1,3",162,"1,8",77350,ozoir-la-ferriere
Logements vacants,290,"3,7",375,"4,6",471,"5,3",77350,ozoir-la-ferriere
,,,,,,,77350,ozoir-la-ferriere
Maisons,5 459,"69,5",5 412,"66,8",5 421,"60,5",77350,ozoir-la-ferriere
Appartements,2 296,"29,2",2 611,"32,2",3 433,"38,3",77350,ozoir-la-ferriere
Ensemble,14 005,"100,0",15 114,"100,0",15 839,"100,0",77373,pontault-combault
Résidences principales,13 088,"93,5",14 382,"95,2",14 968,"94,5",77373,pontault-combault
Résidences secondaires et logements occasionnels,121,"0,9",92,"0,6",129,"0,8",77373,pontault-combault
Logements vacants,795,"5,7",640,"4,2",743,"4,7",77373,pontault-combault
,,,,,,,77373,pontault-combault
Maisons,8 047,"57,5",8 088,"53,5",7 979,"50,4",77373,pontault-combault
Appartements,5 807,"41,5",6 973,"46,1",7 789,"49,2",77373,pontault-combault
Ensemble,8 040,"100,0",8 353,"100,0",8 691,"100,0",77390,roissy-en-brie
Résidences principales,7 746,"96,3",8 064,"96,5",8 368,"96,3",77390,roissy-en-brie
Résidences secondaires et logements occasionnels,54,"0,7",49,"0,6",55,"0,6",77390,roissy-en-brie
Logements vacants,240,"3,0",240,"2,9",268,"3,1",77390,roissy-en-brie
,,,,,,,77390,roissy-en-brie
Maisons,4 516,"56,2",4 720,"56,5",4 742,"54,6",77390,roissy-en-brie
Appartements,3 419,"42,5",3 540,"42,4",3 873,"44,6",77390,roissy-en-brie
Ensemble,9 676,"100,0",10 609,"100,0",10 952,"100,0",77445,savigny-le-temple
Résidences principales,9 276,"95,9",10 142,"95,6",10 500,"95,9",77445,savigny-le-temple
Résidences secondaires et logements occasionnels,18,"0,2",24,"0,2",14,"0,1",77445,savigny-le-temple
Logements vacants,382,"3,9",442,"4,2",438,"4,0",77445,savigny-le-temple
,,,,,,,77445,savigny-le-temple
Maisons,5 167,"53,4",5 353,"50,5",5 455,"49,8",77445,savigny-le-temple
Appartements,4 489,"46,4",5 126,"48,3",5 310,"48,5",77445,savigny-le-temple
Ensemble,8 960,"100,0",9 497,"100,0",9 711,"100,0",77468,torcy
Résidences principales,8 352,"93,2",8 904,"93,8",9 089,"93,6",77468,torcy
Résidences secondaires et logements occasionnels,191,"2,1",208,"2,2",220,"2,3",77468,torcy
Logements vacants,416,"4,6",385,"4,1",401,"4,1",77468,torcy
,,,,,,,77468,torcy
Maisons,2 036,"22,7",2 055,"21,6",2 068,"21,3",77468,torcy
Appartements,6 725,"75,1",6 839,"72,0",7 374,"75,9",77468,torcy
Ensemble,9 917,"100,0",10 785,"100,0",11 404,"100,0",77514,villeparisis
Résidences principales,9 453,"95,3",9 864,"91,5",10 466,"91,8",77514,villeparisis
Résidences secondaires et logements occasionnels,43,"0,4",61,"0,6",115,"1,0",77514,villeparisis
Logements vacants,421,"4,2",859,"8,0",823,"7,2",77514,villeparisis
,,,,,,,77514,villeparisis
Maisons,4 772,"48,1",4 941,"45,8",4 933,"43,3",77514,villeparisis
Appartements,5 102,"51,5",5 807,"53,8",6 189,"54,3",77514,villeparisis
Ensemble,7 952,"100,0",8 662,"100,0",9 672,"100,0",78005,acheres
Résidences principales,7 664,"96,4",8 395,"96,9",9 058,"93,7",78005,acheres
Résidences secondaires et logements occasionnels,18,"0,2",40,"0,5",71,"0,7",78005,acheres
Logements vacants,269,"3,4",227,"2,6",543,"5,6",78005,acheres
,,,,,,,78005,acheres
Maisons,2 700,"34,0",2 804,"32,4",2 752,"28,5",78005,acheres
Appartements,5 202,"65,4",5 743,"66,3",6 777,"70,1",78005,acheres
Ensemble,9 094,"100,0",9 109,"100,0",9 155,"100,0",78126,la-celle-saint-cloud
Résidences principales,8 586,"94,4",8 509,"93,4",8 490,"92,7",78126,la-celle-saint-cloud
Résidences secondaires et logements occasionnels,73,"0,8",104,"1,1",141,"1,5",78126,la-celle-saint-cloud
Logements vacants,434,"4,8",497,"5,5",524,"5,7",78126,la-celle-saint-cloud
,,,,,,,78126,la-celle-saint-cloud
Maisons,2 194,"24,1",2 298,"25,2",2 311,"25,2",78126,la-celle-saint-cloud
Appartements,6 733,"74,0",6 694,"73,5",6 770,"74,0",78126,la-celle-saint-cloud
Ensemble,13 602,"100,0",13 925,"100,0",14 254,"100,0",78146,chatou
Résidences principales,12 701,"93,4",12 907,"92,7",12 881,"90,4",78146,chatou
Résidences secondaires et logements occasionnels,288,"2,1",238,"1,7",288,"2,0",78146,chatou
Logements vacants,613,"4,5",780,"5,6",1 084,"7,6",78146,chatou
,,,,,,,78146,chatou
Maisons,4 065,"29,9",4 258,"30,6",3 971,"27,9",78146,chatou
Appartements,9 312,"68,5",9 512,"68,3",10 168,"71,3",78146,chatou
Ensemble,15 854,"100,0",16 099,"100,0",16 360,"100,0",78158,le-chesnay-rocquencourt
Résidences principales,14 741,"93,0",14 714,"91,4",14 684,"89,8",78158,le-chesnay-rocquencourt
Résidences secondaires et logements occasionnels,426,"2,7",425,"2,6",511,"3,1",78158,le-chesnay-rocquencourt
Logements vacants,687,"4,3",959,"6,0",1 164,"7,1",78158,le-chesnay-rocquencourt
,,,,,,,78158,le-chesnay-rocquencourt
Maisons,2 199,"13,9",2 112,"13,1",2 190,"13,4",78158,le-chesnay-rocquencourt
Appartements,13 520,"85,3",13 715,"85,2",13 951,"85,3",78158,le-chesnay-rocquencourt
Ensemble,14 331,"100,0",14 906,"100,0",15 758,"100,0",78172,conflans-sainte-honorine
Résidences principales,13 596,"94,9",13 812,"92,7",14 534,"92,2",78172,conflans-sainte-honorine
Résidences secondaires et logements occasionnels,44,"0,3",129,"0,9",161,"1,0",78172,conflans-sainte-honorine
Logements vacants,690,"4,8",966,"6,5",1 063,"6,7",78172,conflans-sainte-honorine
,,,,,,,78172,conflans-sainte-honorine
Maisons,7 848,"54,8",8 059,"54,1",8 193,"52,0",78172,conflans-sainte-honorine
Appartements,6 301,"44,0",6 612,"44,4",7 286,"46,2",78172,conflans-sainte-honorine
Ensemble,10 926,"100,0",11 128,"100,0",11 943,"100,0",78208,elancourt
Résidences principales,10 506,"96,2",10 333,"92,9",11 047,"92,5",78208,elancourt
Résidences secondaires et logements occasionnels,46,"0,4",74,"0,7",168,"1,4",78208,elancourt
Logements vacants,374,"3,4",721,"6,5",728,"6,1",78208,elancourt
,,,,,,,78208,elancourt
Maisons,3 796,"34,7",3 816,"34,3",3 870,"32,4",78208,elancourt
Appartements,6 870,"62,9",7 161,"64,4",7 898,"66,1",78208,elancourt
Ensemble,11 022,"100,0",11 740,"100,0",12 920,"100,0",78297,guyancourt
Résidences principales,10 670,"96,8",11 019,"93,9",12 008,"92,9",78297,guyancourt
Résidences secondaires et logements occasionnels,47,"0,4",281,"2,4",316,"2,4",78297,guyancourt
Logements vacants,305,"2,8",440,"3,8",596,"4,6",78297,guyancourt
,,,,,,,78297,guyancourt
Maisons,2 905,"26,4",2 942,"25,1",2 981,"23,1",78297,guyancourt
Appartements,8 020,"72,8",8 686,"74,0",9 805,"75,9",78297,guyancourt
Ensemble,13 828,"100,0",14 230,"100,0",15 383,"100,0",78311,houilles
Résidences principales,13 050,"94,4",13 185,"92,7",14 173,"92,1",78311,houilles
Résidences secondaires et logements occasionnels,69,"0,5",127,"0,9",213,"1,4",78311,houilles
Logements vacants,709,"5,1",918,"6,4",997,"6,5",78311,houilles
,,,,,,,78311,houilles
Maisons,6 647,"48,1",6 356,"44,7",6 804,"44,2",78311,houilles
Appartements,7 022,"50,8",7 788,"54,7",8 468,"55,0",78311,houilles
Ensemble,11 078,"100,0",11 509,"100,0",11 712,"100,0",78358,maisons-laffitte
Résidences principales,9 808,"88,5",10 345,"89,9",10 445,"89,2",78358,maisons-laffitte
Résidences secondaires et logements occasionnels,394,"3,6",362,"3,1",440,"3,8",78358,maisons-laffitte
Logements vacants,876,"7,9",801,"7,0",827,"7,1",78358,maisons-laffitte
,,,,,,,78358,maisons-laffitte
Maisons,2 941,"26,6",3 176,"27,6",2 940,"25,1",78358,maisons-laffitte
Appartements,7 990,"72,1",8 273,"71,9",8 659,"73,9",78358,maisons-laffitte
Ensemble,16 479,"100,0",17 682,"100,0",18 187,"100,0",78361,mantes-la-jolie
Résidences principales,15 560,"94,4",16 713,"94,5",17 196,"94,6",78361,mantes-la-jolie
Résidences secondaires et logements occasionnels,91,"0,5",132,"0,7",88,"0,5",78361,mantes-la-jolie
Logements vacants,829,"5,0",837,"4,7",903,"5,0",78361,mantes-la-jolie
,,,,,,,78361,mantes-la-jolie
Maisons,3 136,"19,0",3 056,"17,3",3 051,"16,8",78361,mantes-la-jolie
Appartements,13 201,"80,1",14 328,"81,0",14 720,"80,9",78361,mantes-la-jolie
Ensemble,7 994,"100,0",8 255,"100,0",9 148,"100,0",78362,mantes-la-ville
Résidences principales,7 549,"94,4",7 691,"93,2",8 529,"93,2",78362,mantes-la-ville
Résidences secondaires et logements occasionnels,37,"0,5",42,"0,5",77,"0,8",78362,mantes-la-ville
Logements vacants,407,"5,1",522,"6,3",542,"5,9",78362,mantes-la-ville
,,,,,,,78362,mantes-la-ville
Maisons,3 658,"45,8",3 645,"44,2",3 705,"40,5",78362,mantes-la-ville
Appartements,4 305,"53,9",4 540,"55,0",5 361,"58,6",78362,mantes-la-ville
Ensemble,13 951,"100,0",14 194,"100,0",15 345,"100,0",78423,montigny-le-bretonneux
Résidences principales,13 238,"94,9",13 519,"95,2",14 307,"93,2",78423,montigny-le-bretonneux
Résidences secondaires et logements occasionnels,167,"1,2",220,"1,5",379,"2,5",78423,montigny-le-bretonneux
Logements vacants,546,"3,9",455,"3,2",659,"4,3",78423,montigny-le-bretonneux
,,,,,,,78423,montigny-le-bretonneux
Maisons,4 317,"30,9",4 418,"31,1",4 328,"28,2",78423,montigny-le-bretonneux
Appartements,9 587,"68,7",9 713,"68,4",10 772,"70,2",78423,montigny-le-bretonneux
Ensemble,11 441,"100,0",11 595,"100,0",12 259,"100,0",78440,les-mureaux
Résidences principales,10 378,"90,7",10 744,"92,7",11 587,"94,5",78440,les-mureaux
Résidences secondaires et logements occasionnels,42,"0,4",80,"0,7",95,"0,8",78440,les-mureaux
Logements vacants,1 021,"8,9",771,"6,7",577,"4,7",78440,les-mureaux
,,,,,,,78440,les-mureaux
Maisons,3 628,"31,7",3 946,"34,0",4 012,"32,7",78440,les-mureaux
Appartements,7 683,"67,2",7 538,"65,0",8 098,"66,1",78440,les-mureaux
Ensemble,12 194,"100,0",12 727,"100,0",13 306,"100,0",78490,plaisir
Résidences principales,11 538,"94,6",12 143,"95,4",12 461,"93,7",78490,plaisir
Résidences secondaires et logements occasionnels,77,"0,6",93,"0,7",162,"1,2",78490,plaisir
Logements vacants,579,"4,7",491,"3,9",683,"5,1",78490,plaisir
,,,,,,,78490,plaisir
Maisons,4 576,"37,5",4 816,"37,8",4 798,"36,1",78490,plaisir
Appartements,7 564,"62,0",7 837,"61,6",8 353,"62,8",78490,plaisir
Ensemble,17 360,"100,0",17 265,"100,0",18 551,"100,0",78498,poissy
Résidences principales,16 211,"93,4",15 913,"92,2",17 287,"93,2",78498,poissy
Résidences secondaires et logements occasionnels,352,"2,0",319,"1,8",241,"1,3",78498,poissy
Logements vacants,797,"4,6",1 033,"6,0",1 024,"5,5",78498,poissy
,,,,,,,78498,poissy
Maisons,3 082,"17,8",3 023,"17,5",3 032,"16,3",78498,poissy
Appartements,14 117,"81,3",14 012,"81,2",15 247,"82,2",78498,poissy
Ensemble,12 146,"100,0",12 381,"100,0",14 065,"100,0",78517,rambouillet
Résidences principales,11 349,"93,4",11 353,"91,7",12 782,"90,9",78517,rambouillet
Résidences secondaires et logements occasionnels,217,"1,8",227,"1,8",348,"2,5",78517,rambouillet
Logements vacants,579,"4,8",801,"6,5",936,"6,7",78517,rambouillet
,,,,,,,78517,rambouillet
Maisons,4 400,"36,2",4 440,"35,9",4 963,"35,3",78517,rambouillet
Appartements,7 616,"62,7",7 777,"62,8",8 980,"63,8",78517,rambouillet
Ensemble,7 292,"100,0",8 316,"100,0",9 684,"100,0",78545,saint-cyr-l-ecole
Résidences principales,6 890,"94,5",7 513,"90,3",8 728,"90,1",78545,saint-cyr-l-ecole
Résidences secondaires et logements occasionnels,69,"0,9",293,"3,5",355,"3,7",78545,saint-cyr-l-ecole
Logements vacants,333,"4,6",510,"6,1",601,"6,2",78545,saint-cyr-l-ecole
,,,,,,,78545,saint-cyr-l-ecole
Maisons,1 506,"20,7",1 644,"19,8",1 772,"18,3",78545,saint-cyr-l-ecole
Appartements,5 629,"77,2",6 611,"79,5",7 804,"80,6",78545,saint-cyr-l-ecole
Ensemble,20 687,"100,0",20 961,"100,0",21 668,"100,0",78551,saint-germain-en-laye
Résidences principales,18 690,"90,3",18 732,"89,4",19 786,"91,3",78551,saint-germain-en-laye
Résidences secondaires et logements occasionnels,609,"2,9",707,"3,4",786,"3,6",78551,saint-germain-en-laye
Logements vacants,1 388,"6,7",1 523,"7,3",1 096,"5,1",78551,saint-germain-en-laye
,,,,,,,78551,saint-germain-en-laye
Maisons,4 254,"20,6",4 366,"20,8",4 089,"18,9",78551,saint-germain-en-laye
Appartements,16 092,"77,8",16 377,"78,1",17 325,"80,0",78551,saint-germain-en-laye
Ensemble,20 942,"100,0",21 933,"100,0",22 712,"100,0",78586,sartrouville
Résidences principales,19 831,"94,7",20 697,"94,4",21 271,"93,7",78586,sartrouville
Résidences secondaires et logements occasionnels,131,"0,6",170,"0,8",192,"0,8",78586,sartrouville
Logements vacants,980,"4,7",1 066,"4,9",1 249,"5,5",78586,sartrouville
,,,,,,,78586,sartrouville
Maisons,7 903,"37,7",8 410,"38,3",8 034,"35,4",78586,sartrouville
